on tims (s),off time (s)
0.64684,81.369
0.85502,17.312
0.87234,17.589
0.84586,17.551
0.86188,17.617
0.86772,17.522
0.83789,17.564
0.85722,17.499
0.85164,17.643
0.82968,17.59
0.84926,17.594
0.84332,17.684
0.82004,17.528
0.84044,17.493
0.82004,17.492
0.83656,17.456
0.81988,17.542
0.82125,17.654
0.83602,17.584
0.83099,17.449
0.83258,17.35
0.81261,17.419
0.82714,17.471
0.82637,17.524
0.82551,17.643
0.80374,17.646
0.81149,17.612
0.80374,17.491
0.82509,17.486
0.80369,17.459
0.82515,17.602
0.80331,17.651
0.8037,17.554
0.82316,17.438
0.82625,17.405
0.80265,17.281
0.80389,17.338
0.82089,17.367
0.82471,17.353
0.82162,17.274
0.83305,17.411
0.82295,17.407
0.80374,17.639
0.81996,17.375
0.82261,17.277
0.83279,17.232
0.80295,17.254
0.81941,17.354
0.83193,17.304
0.81748,17.386
0.80277,17.583
0.80381,17.6
0.81957,17.527
0.81551,17.461
0.81603,17.405
0.8173,17.452
0.80371,17.273
0.81992,17.253
0.82307,17.374
0.81907,17.369
0.82259,17.383
0.81746,17.382
0.81241,17.603
0.80287,17.422
0.81979,17.412
0.80292,17.385
0.82129,17.311
0.81945,17.373
0.80303,17.533
0.81891,17.522
0.80256,17.558
0.82152,17.404
0.81833,17.452
0.82058,17.406
0.82025,17.352
0.81241,17.3
0,4.2e-08
0.81593,17.341
0.81663,17.471
0.80285,17.433
0.80335,17.345
0.80372,17.335
0.82087,17.365
0.80406,17.419
0.81862,17.582
0.80393,17.442
0.80282,17.457
0.82101,17.427
0.82122,17.483
0.80379,17.373
0.82152,17.434
0.82173,17.37
0.82067,17.365
0.82232,17.433
0.80368,17.411
0.80257,17.4
0.82199,17.408
0.8027,17.381
0.82252,17.4
0.80287,17.415
0.8241,17.446
0.82259,17.538
0.81939,17.346
0.82136,17.347
0.80372,17.391
0.80326,17.417
0.82285,17.418
0.82496,17.403
0.82242,17.451
0.80392,17.518
0.83236,17.306
0.79514,17.553
0.82238,17.635
0.8227,17.48
0.82278,17.52
0.80372,17.317
0.82406,17.345
0.82375,17.34
0.82453,17.32
0.81988,17.292
0.823,17.329
0.82495,17.34
0.80387,17.38
0.82411,17.303
0.80373,17.273
0.82695,17.183
0.82529,17.18
0,4.2e-08
0.82432,17.238
0.82506,17.234
0.82742,17.196
0.82407,17.133
0.82612,17.191
0.82473,17.175
0.80411,17.134
0.81124,17.174
0.82605,17.193
0,4.2e-08
0.8267,17.161
0.8264,17.287
0.80284,17.144
0.82083,17.196
0.81148,17.185
0.81237,17.186
0.82531,17.19
0.82915,17.128
0.82465,17.103
0.81224,17.171
0.82608,17.197
0.80328,17.224
0.82839,17.25
0.82724,17.257
0.82776,17.274
0.80243,17.243
0.82607,17.267
0.82398,17.271
0.82497,17.276
0.81143,17.174
0.82739,17.264
0.82956,17.305
0.83185,17.28
0.83075,17.162
0.82867,17.272
0.82633,17.275
0.81243,17.512
0.82742,17.613
0.80368,17.465
0.82793,17.412
0.8124,17.603
0.82741,17.541
0.83042,17.573
0.83055,17.563
0.82914,17.514
0.83024,17.532
0.8264,17.523
0.83207,17.517
0.82979,17.509
0.82552,17.538
0.80253,17.479
0.81266,17.5
0.82841,17.509
0.83162,17.518
0.81129,17.487
0.83076,17.495
0.81139,17.492
0.81253,17.496
0.81142,17.555
0.81243,17.513
0.82994,17.518
0.83239,17.541
0.81149,17.527
0.81237,17.57
0.8115,17.562
0.80374,17.497
0.81151,17.618
0.83351,17.621
0.82975,17.673
0.83084,17.643
0.83199,17.871
0.83175,17.711
0.83624,17.675
0.81241,17.765
0.8115,17.798
0.83003,17.876
0.83257,17.808
0.81245,17.743
0.8313,17.808
0.83467,17.72
0.83657,17.532
0.93356,17.582
0.95754,17.601
0.9551,17.61
0.96288,17.748
0.96483,17.586
0.012189,17.643
