on tims (s),off time (s)
0.80299,11.373
0.9412,6.5791
0.95061,6.461
0.93381,6.5524
0.93298,6.5217
0.93401,6.5342
0.94744,6.5561
0.95053,6.5526
0.95292,6.5597
0.93369,6.5407
0.95143,6.579
0.9328,6.5677
0.94631,6.5794
0.93384,6.5826
0.94986,6.5764
0.95134,6.5537
0.93374,6.5785
0.95032,6.5859
0.94093,6.5647
0.94748,6.567
0.94701,6.5518
0.94664,6.5656
0.94436,6.5736
0.94381,6.5694
0.94882,6.5784
0.93299,6.5998
0.94502,6.5891
0.92512,6.5934
0.94532,6.5702
0,4.2e-08
0.92508,6.5745
0.93776,6.579
0,4.2e-08
0.94007,6.5639
0.93984,6.5901
0.9357,6.6006
0.91648,6.5783
0.91648,6.5523
0.93351,6.5645
0.93746,6.577
0.93846,6.5949
0.93517,6.5734
0,4.2e-08
0.93391,6.5685
0.91605,6.5786
0.93264,6.5848
0.93518,6.5748
0.93355,6.5746
0,4.2e-08
0.91648,6.599
0.90773,6.5946
0.93127,6.5913
0.92713,6.5595
0.91644,6.5841
0.93244,6.5856
0.92947,6.5706
0.90715,6.5367
0.90794,6.5262
0.90778,6.544
0.92403,6.5554
0.92929,6.5372
0.89948,6.5377
0.92951,6.5501
0.91638,6.5386
0.90782,6.5721
0.92865,6.577
0.92673,6.5609
0.9311,6.5504
0.90775,6.5531
0.92753,6.5495
0.92229,6.5525
0.89926,6.5382
0.90777,6.5413
0.92853,6.5586
0.9276,6.5535
0.92251,6.5524
0.92226,6.55
0.89911,6.5324
0.92057,6.5488
0.90761,6.5437
0.92571,6.5433
0.92527,6.5573
0.91929,6.5675
0.92594,6.527
0.90798,6.579
0.91935,6.5382
0.89908,6.5467
0.91697,6.5313
0.92069,6.5374
0.92409,6.5612
0.92036,6.5526
0.89833,6.5462
0.92369,6.5619
0.9202,6.5521
0.89907,6.5396
0.89908,6.5477
0.89861,6.5397
0.91946,6.5579
0.91959,6.5507
0.91759,6.5564
0.91836,6.5599
0.89924,6.5683
0.91766,6.5641
0.90786,6.5711
0.88941,6.5504
0.91005,6.7442
0.89043,6.7421
0.89918,6.7659
0.91544,6.5912
0.91348,6.5814
0.91473,6.577
0.89918,6.5851
0.89811,6.5824
0.89919,6.5697
0.91923,6.5716
0.91531,6.5783
0.90964,6.5605
0.91205,6.5837
0.89046,6.5914
0.89002,6.5407
0.89031,6.5593
0.91197,6.5402
0.91313,6.5613
0.91337,6.5643
0.9096,6.5668
0.90687,6.584
0.91021,6.5494
0.90733,6.5619
0.91352,6.5777
0.89054,6.5763
0.89914,6.5679
0.88944,6.5855
0.90602,6.5666
0.89048,6.604
0.9311,6.5724
0.88942,6.4186
0.88193,6.7311
0.88176,6.5964
0.91249,6.5782
0.89084,6.5685
0.91032,6.5616
0.89041,6.5638
0.8893,6.5878
0.91196,6.5641
0.91118,6.5717
0.91203,6.5581
0.91373,6.5744
0.90857,6.5761
0.91118,6.5607
0.90973,6.5799
0.89033,6.5498
0.89907,6.606
0.90128,6.6708
0.88072,6.589
0.91056,6.605
0.89048,6.5955
0.88137,6.5897
0.90941,6.5962
0.8905,6.6239
0.9097,6.6143
0.90854,6.6251
0.8908,6.6044
0.90802,6.6057
0.9044,6.608
0.88078,6.6206
0.90392,6.5892
0.8905,6.6049
0.90808,6.5927
0.90628,6.6054
0.90422,6.5978
0.88177,6.6071
0.90066,6.6106
0.90271,6.5932
0.90441,6.6139
0.9051,6.6239
0.88215,6.611
0.90383,6.599
0.88185,6.6006
0.90708,6.6095
0.9061,6.6185
0.88182,6.5939
0.90362,6.6013
0.89074,6.6151
0.90406,6.6152
0.88184,6.6034
0.90383,6.6128
0.88178,6.6205
0.88177,6.6127
0.29889,6.6151
1.0649,6.6162
1.0673,6.6145
1.0649,6.6078
1.0602,6.6191
1.067,6.607
0.012189,6.6124
0.012189,6.6176
0.012189,6.6017
0.012191,6.63
0.01219,6.6176
0.012189,6.6158
1.0679,6.6358
0.012187,6.6263
1.0613,6.6425
1.0655,6.6186
1.063,6.6251
0.012188,6.6193
0.012189,6.6227
0.01219,6.6128
0.012188,6.6232
1.0641,6.6108
1.0676,6.6137
1.0659,6.6039
0.012187,6.6025
1.0626,6.6214
1.0646,6.6172
1.0608,6.6153
0.01219,6.6199
1.0627,6.6248
0.012191,6.6168
1.0631,6.6137
0.012187,6.6151
