executionTime(s)
42.852
33.276
43.137
43.218
33.35
43.42
43.395
33.334
43.357
43.229
33.282
43.102
43.381
33.347
43.326
43.372
43.249
33.517
43.488
43.244
43.508
33.274
9.9692
33.239
43.387
43.368
43.483
33.37
43.427
43.325
42.969
33.254
43.79
44.095
43.196
33.342
43.075
43.167
43.13
32.96
43.158
43.176
43.167
33.256
43.135
43.211
43.288
33.243
43.284
43.432
