Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"194199000","209900","3274","211.1",""
"195282000","209900","3274","211.9",""
"196487000","209900","3273","212.6",""
"197634000","209900","3274","213.7",""
"198789000","209900","3274","214.5",""
"199936000","209900","3273","215.2",""
"201024000","209900","3274","216.0",""
"202229000","209900","3273","216.7",""
"203377000","209900","3273","217.5",""
"204525000","209900","3273","218.6",""
"205672000","209900","3273","219.3",""
"206756000","209900","3273","219.7",""
"207961000","209900","3273","220.8",""
"209115000","209900","3273","221.6",""
"210263000","209900","3273","222.3",""
"211411000","209900","3273","223.4",""
"212494000","209900","3273","223.8",""
"213699000","209900","3274","224.9",""
"214848000","209900","3274","225.7",""
"215995000","209900","3273","226.4",""
"217144000","209900","3273","227.1",""
"218232000","209900","3273","227.9",""
"219437000","209900","3273","228.6",""
"220585000","209900","3273","229.8",""
"221734000","209900","3273","230.5",""
"222882000","209900","3273","231.2",""
"223965000","209900","3273","232.0",""
"225171000","209900","3273","232.7",""
"226319000","209900","3273","233.5",""
"227466000","209900","3273","234.6",""
"228621000","209900","3273","235.3",""
"229703000","209900","3273","235.7",""
"230909000","209900","3273","236.8",""
"232056000","209900","3273","237.6",""
"233204000","209900","3273","238.3",""
"234351000","209900","3273","239.4",""
"235435000","209900","3273","239.8",""
"236642000","209900","3273","240.5",""
"237789000","209900","3273","241.7",""
"238943000","209900","3273","242.4",""
"240091000","209900","3273","243.2",""
"241174000","209900","3273","243.9",""
"242404000","209900","3273","244.6",""
"243552000","209900","3273","245.4",""
"244700000","209900","3273","246.5",""
"245848000","209900","3273","247.3",""
"246932000","209900","3273","247.6",""
"248137000","211700","3273","248.7",""
"249291000","211700","3273","249.5",""
"250439000","211700","3273","250.2",""
"251586000","211700","3273","251.4",""
"252669000","211700","3273","251.7",""
"253874000","211700","3273","252.4",""
"255022000","211700","3273","253.6",""
"256171000","211700","3273","254.3",""
"257318000","211700","3273","255.1",""
"258407000","211700","3273","255.8",""
"259613000","211700","3273","256.5",""
"260761000","211700","3273","257.3",""
"261908000","211700","3273","258.4",""
"263056000","211700","3273","259.2",""
"264140000","211700","3273","259.5",""
"265345000","211700","3273","260.6",""
"266493000","211700","3273","261.4",""
"267641000","211700","3273","262.1",""
"268795000","211700","3273","262.9",""
"269878000","211700","3273","263.6",""
"271083000","211700","3273","264.3",""
"272231000","211700","3273","265.5",""
"273379000","211700","3273","266.2",""
"274527000","211700","3273","267.0",""
"275610000","211700","3273","267.7",""
"276816000","211700","3273","268.5",""
"277964000","211700","3273","269.2",""
"279118000","211700","3273","270.3",""
"280266000","211700","3273","271.1",""
"281350000","211700","3273","271.4",""
"282555000","211700","3273","272.6",""
"283704000","211700","3273","273.3",""
"284856000","211700","3273","274.0",""
"286004000","211700","3273","274.8",""
"287087000","211700","3273","275.5",""
"288298000","211700","3273","276.3",""
"289445000","211700","3273","277.4",""
"290594000","211700","3273","278.1",""
"291742000","211700","3273","278.9",""
"292817000","211700","3273","279.6",""
"294030000","211700","3273","280.4",""
"295179000","211700","3273","281.5",""
"296326000","211700","3273","282.2",""
"297474000","211700","3273","283.0",""
"298564000","211700","3273","283.7",""
"299769000","211700","3273","284.5",""
"300917000","211700","3273","285.2",""
"302064000","211700","3273","286.3",""
"303213000","211700","3273","287.1",""
"304296000","211700","3273","287.4",""
"305501000","211700","3273","288.6",""
"306650000","211700","3273","289.3",""
"307798000","211700","3273","290.1",""
"308952000","211700","3273","290.8",""
"310035000","211700","3273","291.5",""
"311240000","211700","3273","292.3",""
"312388000","211700","3273","293.4",""
"313536000","211700","3273","294.2",""
"314683000","211700","3273","294.9",""
"315766000","210200","3273","295.6",""
"316971000","210200","3273","296.4",""
"318120000","210200","3273","297.1",""
"319273000","210200","3273","298.3",""
"320422000","210200","3273","299.0",""
"321505000","210200","3273","299.3",""
"322710000","210200","3273","300.5",""
"323858000","210200","3273","301.2",""
"325007000","210200","3273","302.0",""
"326154000","210200","3273","302.7",""
"327241000","210200","3273","303.4",""
"328452000","210200","3273","304.2",""
"329600000","210200","3273","305.3",""
"330748000","210200","3273","306.1",""
"331896000","210200","3273","306.8",""
"332979000","210200","3273","307.5",""
"334185000","210200","3273","308.3",""
"335332000","210200","3273","309.4",""
"336481000","210200","3273","310.2",""
"337629000","210200","3273","310.9",""
"338718000","210200","3273","311.3",""
"339924000","210200","3273","312.4",""
"341072000","210200","3273","313.1",""
"342220000","210200","3273","313.9",""
"343368000","210200","3273","314.6",""
"344450000","210200","3273","315.4",""
"345656000","210200","3273","316.1",""
"346804000","210200","3273","317.2",""
"347952000","210200","3273","318.0",""
"349106000","210200","3273","318.7",""
"350189000","210200","3273","319.5",""
"351396000","210200","3273","320.2",""
"352544000","210200","3273","320.9",""
"353692000","210200","3273","322.1",""
"354840000","210200","3273","322.8",""
"355922000","210200","3273","323.2",""
"357128000","210200","3273","324.3",""
"358281000","210200","3273","325.0",""
"359430000","210200","3273","325.8",""
"360578000","210200","3273","326.9",""
"361661000","210200","3273","327.3",""
"362867000","210200","3273","328.0",""
"364015000","210200","3273","329.1",""
"365163000","210200","3273","329.9",""
"366311000","210200","3273","330.6",""
"367395000","210200","3273","331.4",""
"368611000","210200","3273","332.1",""
"369759000","210200","3273","333.2",""
"370907000","210200","3273","334.0",""
"372055000","210200","3273","334.7",""
"373139000","210200","3273","335.5",""
"374345000","210200","3273","336.2",""
"375493000","210200","3273","337.0",""
"376640000","210200","3273","338.1",""
"377789000","210200","3273","338.8",""
"378870000","210200","3273","339.2",""
"380084000","210200","3273","340.3",""
"381231000","210200","3273","341.1",""
"382379000","210200","3273","341.8",""
"383528000","209700","3273","342.5",""
"384610000","209700","3273","343.3",""
