on time,off time
1.4074,16.065
1.4864,16.049
1.5034,16.199
1.506,16.237
1.4737,16.235
1.4775,16.174
1.4771,16.24
1.4909,16.163
1.5022,16.266
1.4747,16.246
1.4773,16.25
1.25e-07,8.1527
1.468,8.1086
1.4629,16.262
1.4654,16.254
1.4822,16.282
1.4937,16.332
1.4986,16.3
1.4987,16.234
1.4701,16.254
1.4742,16.3
1.4742,16.207
1.4908,16.273
1.5002,16.329
1.4757,16.29
1.4984,16.256
1.4639,16.279
1.4703,16.278
1.4851,16.242
1.495,16.269
1.4719,16.293
1.4933,16.342
1.4736,16.357
1.4995,16.289
1.4987,16.339
1.5526,15.065
1.4691,16.38
1.5024,16.305
1.4962,16.331
1.4741,16.33
1.4747,16.332
1.4722,16.318
1.4741,16.298
1.4901,16.314
1.5014,16.321
1.4783,16.317
1.5055,16.858
1.4245,18.402
1.4676,17.421
1.4819,17.13
1.4706,16.839
1.4813,16.307
1.5208,16.185
1.6051,16.228
0,7.9527
