on time,off time
1.9731,17.206
1.5073,16.348
1.5095,16.637
1.4764,16.071
1.4877,16.169
1.4856,16.205
1.5042,16.191
1.208e-06,2.9897
1.5059,13.276
1.48,16.271
1.4798,16.295
1.4771,16.329
1.4804,16.197
1.4802,16.279
1.4918,16.335
1.5053,16.212
1.5059,16.257
1.5014,16.223
1.4774,16.214
1.4799,16.232
1.4772,16.288
1.4878,16.245
1.5025,16.223
1.4764,16.242
1.4969,16.32
1.4621,16.372
1.4713,16.521
1.4912,16.316
1.495,16.293
1.4792,16.342
1.5015,16.222
1.4774,16.31
1.5056,16.23
1.479,16.273
1.5033,16.269
1.4796,16.294
1.5061,16.283
1.4735,16.3
1.4779,16.36
1.478,16.261
1.4783,16.315
1.4794,16.253
1.4922,16.199
1.5064,16.234
1.4808,16.292
1.5042,16.276
1.481,16.273
1.4945,16.299
1.5037,16.281
1.48,16.258
1.4814,16.208
1.5185,16.333
1.6028,16.261
1.6061,16.195
1.6061,16.282
1.6088,16.264
0,11.1
