on time,off time
1.166,16.307
1.5144,15.942
1.5323,16.117
1.5377,16.156
1.5035,16.169
1.5008,16.187
1.5022,16.186
1.5171,16.222
1.5284,16.189
1.4994,16.22
1.4992,16.171
1.4997,16.184
1.5017,16.216
1.498,16.174
1.5168,16.213
1.5284,16.172
1.5348,16.196
1.5234,16.197
1.5032,16.19
1.502,16.183
1.504,16.191
1.5275,16.201
1.5319,16.19
1.5073,16.197
1.5319,16.196
1.5007,16.207
1.5034,16.235
1.5183,16.213
1.528,16.197
1.5063,16.22
1.5275,16.213
1.5012,16.189
1.5249,16.2
1.5116,16.224
1.524,16.239
1.5068,16.213
1.5325,16.201
1.5042,16.205
1.5056,16.22
1.502,16.237
1.5063,16.212
1.503,16.242
1.5217,16.24
1.5298,16.202
1.5104,16.253
1.5289,16.245
1.501,16.211
1.5196,16.215
1.5285,16.225
1.5004,16.213
1.5061,16.213
1.5435,16.216
1.6344,16.24
1.6311,16.198
1.63,16.252
1.8181,16.688
