on time,off time
1.5032,15.572
1.4949,16.133
1.5059,16.241
1.5186,16.305
1.4876,16.336
1.4873,16.328
1.4877,16.256
1.4989,16.323
1.5083,16.331
1.4744,16.307
1.484,16.289
1.4848,16.338
2.4422,16.346
1.4846,15.344
1.5009,16.233
1.5082,16.232
3.2048,16.214
1.5121,14.565
1.4856,16.257
1.4832,16.24
1.4867,16.245
1.5006,13.8
1.5096,16.242
1.4904,16.227
1.5102,16.225
1.4859,12.986
1.4876,16.199
1.5057,16.189
1.5157,16.209
1.4927,16.222
1.5121,16.213
1.4938,16.233
1.5176,16.189
3.3e-05,4.984
1.4925,11.239
1.5207,16.19
1.4972,16.248
1.5187,16.197
1.4896,16.204
1.4928,16.224
1.497,16.209
1.4905,16.201
1.4933,16.221
1.5102,16.21
1.516,16.223
1.4935,16.201
1.5162,16.191
1.4881,16.204
1.5112,16.192
1.5133,16.221
1.4898,16.207
1.5087,15.796
1.5462,16.256
1.6298,16.1
0,4.1906
