executionTime(s)
1.0457
34.545
17.436
1.0457
17.394
17.687
34.951
17.477
1.0457
17.374
17.684
17.716
17.676
34.92
18.021
17.984
17.643
17.686
17.692
34.944
17.458
17.974
17.469
1.0457
17.439
34.953
17.478
17.989
17.446
17.971
17.479
18.021
17.466
17.978
17.467
1.0456
17.428
17.742
17.715
17.748
34.988
17.513
18.026
17.469
1.0457
34.686
17.471
1.0456
17.417
