on time,off time
1.1658,17.646
1.4916,16.232
1.5082,16.362
1.5177,16.356
1.4881,16.376
1.4887,16.391
1.4909,16.406
1.5063,16.387
1.5163,16.405
1.4844,16.387
1.4885,16.387
1.4824,16.398
1.4846,16.336
1.4871,16.384
1.5012,16.397
1.5142,16.353
1.5167,16.369
1.5081,16.38
1.4906,16.378
1.489,16.39
1.4895,16.369
1.5062,16.368
1.5171,16.395
1.4931,16.452
1.5153,16.391
1.4888,16.396
1.4918,16.437
1.5042,16.429
1.5142,16.401
1.4939,16.425
1.5112,16.398
1.4934,16.36
1.5132,16.382
1.4926,16.409
1.5126,16.38
1.4909,16.346
1.513,16.411
1.4839,16.434
1.4883,16.397
1.4836,16.461
1.4854,16.381
1.4828,16.387
1.4981,16.376
1.5056,16.408
1.4809,16.378
1.5094,16.408
1.4796,16.411
1.4991,16.396
1.5118,16.402
1.4813,16.407
1.4856,16.409
1.5276,16.405
1.618,16.395
1.6195,16.423
1.6178,16.413
1.6163,16.378
1.6204,16.392
1.616,16.428
1.6225,16.395
1.6161,16.434
1.6201,16.417
1.6184,16.431
0,6.8438
