executionTime(s)
7.283
7.2831
7.2832
7.283
7.283
7.2832
7.2833
7.2832
7.2831
7.2831
7.283
7.2828
7.283
7.2831
7.2831
7.283
7.283
7.283
7.2829
7.283
7.283
7.2829
7.2829
7.2828
7.2828
7.2828
7.283
7.2829
7.2829
7.283
7.2829
7.2829
7.2829
7.283
7.283
7.283
7.2829
7.283
7.2829
7.2829
7.2828
7.2827
7.2827
7.2827
7.2828
7.2829
7.2827
7.2828
7.2829
7.2828
