on time,off time
1.8174,6.6079
1.8405,15.375
1.9296,15.086
1.9821,15.164
2.0367,15.146
1.9398,15.198
1.9369,15.17
1.937,15.151
1.9365,15.16
1.9406,15.136
1.9797,15.179
2.0364,15.153
1.9343,15.197
1.9314,15.158
1.9362,15.199
1.9323,15.203
1.9373,15.143
1.9355,15.162
1.9405,15.194
1.9332,15.166
2.022,15.184
2.0308,15.175
1.9305,15.17
2.0287,15.142
2.0368,15.181
1.9324,15.181
2.0261,15.15
2.0361,15.166
1.9331,15.21
1.9379,15.195
1.9438,15.171
1.9455,15.18
1.9956,15.166
2.039,15.178
1.9435,15.168
1.9447,15.159
2.0306,15.14
2.0438,15.148
1.9406,15.194
1.9441,15.172
1.9477,15.172
1.9432,15.144
1.9928,15.132
2.0389,15.179
1.9393,15.142
1.9438,15.167
2.0261,15.171
2.0324,15.184
1.9417,15.158
1.9384,15.156
2.0335,15.169
2.0448,15.183
1.9464,15.184
1.9398,15.175
2.0253,15.189
2.0455,15.194
1.9394,15.227
1.9487,15.172
2.0276,15.202
2.0423,15.205
1.9445,15.177
1.9433,15.209
1.9495,15.189
1.9484,15.181
1.9452,15.181
1.953,15.157
1.9483,15.147
1.9595,15.13
2.0414,15.127
1.9474,15.114
1.9521,15.172
2.0334,15.157
2.0421,15.184
1.9466,15.13
1.9414,15.119
1.9537,15.099
2.0144,15.148
2.0432,15.146
1.9393,15.118
1.9486,15.108
2.0139,15.14
1.974,14.935
2.1171,15.064
2.2516,15.179
