on time,off time
1.8981,17.482
1.8744,15.251
1.9299,15.064
1.9816,15.122
2.0295,15.14
1.9313,15.122
1.9314,15.136
1.9405,15.149
1.9342,15.124
1.946,15.185
1.9894,15.16
2.0433,15.183
1.9485,15.108
1.9586,15.173
1.9561,15.187
1.9522,15.163
1.9578,15.138
1.9582,15.157
1.9633,15.178
1.9637,15.167
2.0496,15.138
1.9491,15.173
2.0438,15.174
2.0484,15.182
1.9474,15.194
2.0541,15.138
2.0569,15.187
1.9535,15.195
1.9546,15.144
1.9483,15.139
1.9421,15.169
1.9918,15.163
2.0336,15.16
1.93,15.149
1.9447,15.152
2.0186,15.114
2.0462,15.144
1.9439,15.133
1.9508,15.122
1.9479,15.107
1.9553,15.113
1.9984,15.149
2.0494,15.134
1.9535,15.136
1.9496,15.12
2.0453,15.107
2.0501,15.138
1.9603,15.128
1.9592,15.128
2.0361,15.14
2.0569,15.085
1.9665,15.119
1.9625,15.181
2.0464,15.133
2.0614,15.151
1.9627,15.167
1.9631,15.133
2.0491,15.169
2.0644,15.155
1.9669,15.167
1.9653,15.164
1.9707,15.158
1.9671,15.167
1.9708,15.166
1.9695,15.184
1.971,15.151
1.9851,15.152
2.0586,15.13
1.9622,15.174
1.9637,15.153
2.0442,15.172
2.0906,15.181
1.9804,15.166
1.9714,15.16
1.9668,15.199
2.0295,15.144
2.1121,15.013
1.9771,14.457
1.9631,15.077
1.965,15.099
1.9695,15.102
2.1164,15.11
2.2649,15.107
2.2901,15.131
2.2555,15.098
2.2678,15.139
2.2588,15.154
2.2601,15.119
2.2688,15.084
2.2633,15.085
2.2647,15.106
2.2614,15.088
2.2681,15.154
