on time,off time
5.209e-06,4.1402
1.9183,9.0685
2.1578,13.339
2.0723,13.898
2.1768,14.293
2.1948,14.378
2.0827,14.339
2.0847,14.336
2.0895,14.359
2.0917,14.342
2.0968,14.346
2.1776,14.352
2.2057,14.374
2.0976,14.378
2.0996,14.38
2.1136,14.365
2.0914,14.33
2.0951,14.37
2.1213,14.358
2.1,14.344
2.1727,14.399
2.2159,14.361
2.0984,14.388
2.2097,14.372
2.1038,14.349
2.2174,14.376
2.1003,14.363
2.0932,14.366
2.0956,14.344
2.0993,14.374
2.1962,14.364
2.2087,14.392
2.1043,14.363
2.0986,14.385
2.2068,14.371
2.2119,14.382
2.105,14.384
2.1103,14.381
2.1056,14.379
2.106,14.377
2.2049,14.414
2.2144,14.339
2.1038,14.344
2.1088,14.34
2.2329,14.32
2.2196,14.352
2.1092,14.34
2.1118,14.37
2.2328,14.38
2.2208,14.329
2.1071,14.352
2.1103,14.371
2.2191,14.345
2.2195,14.356
2.1073,14.359
2.134,14.378
2.2136,14.355
2.2124,14.372
2.1022,14.361
2.0959,14.377
2.1016,14.385
2.0957,14.384
2.103,14.367
1.9131,14.392
2.0996,14.374
2.1592,14.37
2.2063,14.335
2.0911,14.393
2.0969,14.397
1.9419,14.391
2.2079,14.355
2.099,14.388
2.1038,14.355
2.0942,14.339
2.2037,14.306
2.2145,14.341
2.0976,14.318
2.0952,14.315
2.1042,14.488
2.0958,14.476
2.3157,14.706
