on time,off time
2.1808,20.586
2.1614,13.9
2.2125,14.382
2.2147,14.396
2.215,14.405
2.2095,14.408
2.3263,14.388
2.2138,14.432
2.2131,14.421
2.2133,14.419
2.2106,14.414
2.2113,14.418
2.2118,14.385
2.2467,14.393
2.3283,14.39
2.2408,14.407
2.3217,14.374
2.2132,14.393
2.3238,14.377
2.2121,14.399
2.2076,14.361
2.212,14.361
2.214,14.412
2.3189,14.407
2.1985,14.385
2.2093,14.432
2.316,14.401
2.2079,14.426
2.2062,14.416
2.2012,14.428
2.2112,14.384
2.3211,14.439
2.2061,14.419
2.2126,14.401
2.3248,14.427
2.2064,14.473
2.2095,14.414
2.3247,14.384
2.2115,14.432
2.2108,14.445
2.3247,14.38
2.2018,14.399
2.2098,14.416
2.3208,14.41
2.2089,14.421
2.2081,14.444
2.207,14.452
2.2063,14.435
2.2094,14.426
2.1994,14.414
2.212,14.399
2.3217,14.443
2.2026,14.451
2.2104,14.406
2.3239,14.433
2.2051,14.47
2.2058,14.463
2.2075,14.43
2.3207,14.443
2.1835,14.941
2.1484,14.964
2.1882,14.422
2.2063,14.453
2.5846,14.401
2.5891,14.454
2.5906,14.45
2.5841,14.444
2.5865,14.386
2.5885,14.454
2.5878,14.418
2.5859,14.441
2.5938,14.473
2.5889,14.472
2.5857,14.447
2.5788,14.431
2.5915,14.436
2.5857,14.471
2.5812,14.415
