on time,off time
1.9114,14.483
1.9728,13.877
1.976,14.748
2.0355,14.805
2.0835,14.826
1.9746,14.883
1.9861,14.857
1.9858,14.896
1.982,14.878
1.9855,14.883
2.0266,14.886
2.0801,14.883
1.9824,14.903
1.9851,14.902
1.9849,14.886
1.9868,14.914
1.9922,14.902
1.9942,14.924
1.9848,14.901
2.003,14.874
2.0823,14.897
1.9833,14.928
2.0836,14.878
2.0816,14.89
1.983,14.903
2.084,14.902
2.0808,14.873
1.9873,14.875
1.9824,14.871
1.9903,14.853
1.9888,14.893
2.0427,14.873
2.0853,14.901
1.981,14.913
1.9916,14.894
2.0756,14.918
2.0864,14.923
1.99,14.886
1.9881,14.895
1.9908,14.893
1.9908,14.887
2.051,14.886
2.0928,14.894
1.9961,14.922
1.992,14.911
2.0819,14.85
2.1001,15.501
1.9888,15.154
1.9865,13.89
2.0855,14.797
2.09,14.816
1.9772,15.154
1.9649,15.52
2.0521,15.52
2.0611,15.563
1.9637,15.529
1.9595,15.502
2.0454,15.476
2.064,15.471
1.9658,15.361
1.9689,15.363
1.9628,15.324
1.9668,15.361
1.9674,15.35
1.9634,15.329
1.9734,15.348
1.985,15.35
2.0731,15.341
1.9656,15.344
1.9679,15.302
2.0043,14.978
2.0658,15.526
1.966,15.456
1.9894,15.616
2.022,15.251
2.069,15.213
2.0446,15.357
1.9731,15.347
1.9728,15.273
1.9814,15.273
2.0247,15.149
2.1852,14.801
