on time,off time
3.9839,5.1055
4.0975,5.0865
4.0992,5.0447
4.1064,4.8677
4.2754,4.8983
4.1475,4.8895
4.0771,4.8913
4.0853,4.8983
4.2526,4.924
4.2642,4.8941
4.2669,4.9318
4.1152,4.9312
4.1695,4.9156
4.2421,4.9379
4.2275,4.9326
4.107,4.8785
4.1216,4.8782
4.2927,4.8273
4.2313,4.8872
4.2961,4.9194
4.2211,4.9353
4.0611,4.9647
4.2064,4.9446
4.1521,4.9764
4.2398,4.9995
4.092,4.9664
3.6438,5.3081
3.7023,5.4426
3.8465,5.4229
3.7738,5.2886
3.8576,5.3465
3.739,5.3545
3.8837,5.3301
3.7145,5.3223
3.7671,5.3187
