on tims (s),off time (s)
0.85164,91.248
0.88565,20.657
0.8765,20.223
0.87101,20.145
0.85134,19.413
0.86165,19.466
0.83874,19.751
0.83537,19.82
0.83246,19.776
0.81608,19.885
0.83686,19.845
0.81579,19.434
0.82365,20.034
0.81241,20.03
0.81651,20.038
0.81383,19.991
0.80116,19.953
0.80982,19.948
0.80389,20.007
0,4.2e-08
0,4.1e-08
0.78959,19.994
0.80564,19.988
0.80105,20.029
0.80022,20
0.78066,19.991
0.78062,19.914
0.79679,19.915
0.79491,19.945
0.78483,19.956
0.79242,19.902
0.77184,19.873
0.7911,19.907
0.78682,19.836
0.78451,19.88
0.77177,19.892
0.77775,19.925
0.78609,19.877
0.77607,19.872
0.78703,19.869
0.76293,19.891
0.77433,19.837
0.76301,19.847
0.78092,19.88
0.78144,19.844
0.76298,19.849
0.77396,19.848
0.76292,19.868
0.78518,19.87
0.77514,19.858
0.78535,19.832
0.78041,19.835
0.77986,19.836
0.78182,19.801
0.77085,19.822
0.78223,19.84
0.77621,19.825
0.77658,19.807
0.77078,19.893
0.7766,19.854
0,4.2e-08
0.77244,19.806
0.77954,19.849
0.77675,19.854
0.7762,19.937
0.77064,19.901
0.77051,19.894
0.77883,19.923
0.77766,19.901
0.77731,19.912
0.77553,19.958
0.77649,19.895
0.76743,19.875
0.76979,19.876
0.77643,19.889
0.76683,19.894
0.77575,19.847
0.77277,19.877
0.76754,19.885
0.77722,19.852
0.76375,19.868
0.76661,19.89
0.77588,19.872
0.77574,19.874
0.76975,19.924
0.76746,19.938
0.77696,19.901
0.77589,19.893
0.77504,19.888
0.76874,19.933
0.77774,19.899
0.77525,19.921
0.77235,19.856
0.7774,19.831
0.77423,19.697
0.77756,19.1
0.76815,19.9
0,4.1e-08
0.77802,18.969
0.77935,18.95
0.77302,18.913
0.7706,19.029
0.77057,19.172
0.77879,19.159
0.77949,19.229
0.77933,19.208
0.77158,19.219
0.77803,19.058
0.7784,19.017
0,4.2e-08
0.77098,18.984
0.76957,19.171
0.7745,19.176
0.77589,19.322
0.77653,19.217
0.77243,19.351
0.77576,19.426
0.7764,19.382
0.76713,19.444
0.76773,19.468
0.82862,19.436
0.86136,19.419
0.87297,19.492
0.86111,19.511
0,9.3948
