on time (s),off time (s)
0.049645,0.000509
0.029531,0.012526
0.0813,0.0062644
0.029376,0.013107
0.081444,0.0064283
0.009375,0.013267
0.065034,0.0056526
0.029262,0.013079
0.030079,0.0071081
0.04959,0.00017275
0.029164,0.013545
0.080726,0.0063938
0.029301,0.012873
0.081659,0.0058593
0.028848,0.013734
0.029965,0.0065356
0.050492,2.625e-05
0.029371,0.012707
0.065727,0.0058422
0.02929,0.012411
0.046293,0.005799
0.029384,0.013507
0.029853,0.0072851
0.049043,0.00094079
0.029235,0.012902
0.081346,0.0059339
0.029503,0.012217
0.027201,0.005194
0.029404,0.012886
0.080549,0.0066377
0.0093736,0.01347
0.0093737,0.0077369
0.048279,0.0018441
0.029119,0.013679
0,4.2e-08
0.081017,0.0065528
0.029124,0.012928
0.045751,0.0060831
0.028876,0.015038
0.029601,0.0084805
0.027126,0.0026759
0.029228,0.012745
0,4.1e-08
0.027114,0.0049202
0.029049,0.013236
0.030208,0.0067903
0.049815,0.00021629
0.029098,0.013292
0.081251,0.0059831
0.029066,0.012854
0.081756,0.0057952
0.029431,0.012441
0.082743,0.0055511
0.029171,0.013039
0.046021,0.006243
0.029036,0.013618
0.030273,0.007207
0.048916,0.0013031
0.029021,0.014087
0.009385,0.0074955
0.048487,0.0013722
0.029335,0.012542
0.065727,0.006108
0.029226,0.012195
0.082609,0.0057609
0.02926,0.01338
0.030398,0.0066906
0.04993,0.00032304
0.029241,0.013275
0.065545,0.0060164
0.029236,0.012575
0,4.2e-08
0.081804,0.0056999
0,4.2e-08
0.029229,0.012797
0.065542,0.0058242
0.029411,0.013272
0.045869,0.0063413
0.029046,0.014275
0.029835,0.0075091
0.048754,0.00099758
0.0093679,0.013249
0.081627,0.0062436
0.029424,0.012555
0.081428,0.0059999
0.029197,0.013037
0.0811,0.0060892
0.0093714,0.011607
0.047189,0.0047872
0.02917,0.013072
0.046092,0.005538
0.028906,0.013986
0.030728,0.0079087
0.02713,0.001041
0.029316,0.013172
0.030037,0.0064082
0.049553,0.00046733
0.028987,0.013527
0.029849,0.0074333
0.027116,0.0010686
0.029057,0.013572
0.080516,0.0068448
0.02926,0.012676
0.065347,0.0050256
0,4.2e-08
0.0295,0.012673
0.045378,0.0067423
0.028934,0.014506
0.029909,0.0073482
0.048768,0.0011251
0.0094571,0.013207
0.081219,0.0059072
0.0093742,0.012351
0.046785,0.004934
0.029271,0.013038
0.030165,0.006771
0.049437,0.00058687
0.028877,0.013798
0.03015,0.0066132
0.04955,0.00052254
0.029124,0.013038
0.0094585,0.0065012
0.049952,0.00018992
0.029228,0.013681
0,4.2e-08
0.080637,0.0065733
0.029303,0.012916
0.080983,0.0062962
0.029269,0.013541
0.029943,0.0070709
0.048915,0.0013506
0.028871,0.014071
0.030106,0.0065588
0.050178,0.00013204
0,4.2e-08
0.029625,0.012244
0.046525,0.0051179
0.029032,0.013049
0.081408,0.0059813
0.029193,0.013195
0.081058,0.0064053
0.029188,0.012904
0.04652,0.0052034
0.0093699,0.013025
0.08161,0.0059205
0.029565,0.012506
0.047002,0.0048812
0.029118,0.013796
0.029763,0.0075016
0.048685,0.0013955
0.029041,0.013942
0.029908,0.0070033
0.049133,0.00077071
0.028959,0.013044
0.080951,0.0065315
0.02894,0.013381
0.0093788,0.0067617
0.057694,0.00013254
