on time (s),off time (s)
0.013509,10.087
0.019428,0.02026
0.024825,0.014168
0.027805,0.007741
0.040682,0.00094208
0.028356,0.012353
0.041643,0.0033945
0.009375,0.011711
0.045716,0.0025202
0.075174,0.0087326
0,4.1e-08
0.027143,0.010991
0.040843,0.0044673
0.029867,0.013084
0.049065,0.003054
0.081915,0.0073168
0.0093685,0.0090054
0.049186,0.0017811
0.082263,0.0084245
0.090721,0.0054496
0.035977,0.0035045
0.072727,0.0061491
0.035982,0.0046054
0.030425,0.0096073
0.036064,0.0017674
0.053605,0.0028713
0.052268,0.0036271
0.089564,0.0071453
0.053604,0.002908
0.035976,0.0044458
0.050237,0.0052248
0.087867,0.0071922
0.087855,0.0071775
0.050954,0.0048001
0.089517,0.007175
0.052056,0.0039909
0.050264,0.0051662
0.092426,0.005303
0.036066,0.002235
0.036075,0.003736
0.073572,0.0065779
0.036064,0.0048555
0.066377,0.0082568
0.09194,0.0065486
0.027197,0.005032
0.0093678,0.0081399
0.03599,0.00071625
0.088081,0.0073472
0.073183,0.0057546
0.050574,0.0047852
0.030452,0.0083109
0.035976,0.00060479
0.087442,0.0077149
0.088799,0.0068424
0.073033,0.0056153
0.035995,0.0042179
0.087667,0.0075233
0.049872,0.0051708
0.075218,0.0071509
0.053313,0.0027397
0.027197,0.0058717
0.066173,0.0081553
0.091611,0.0058424
0.036079,0.004276
0.073595,0.0070548
0.036069,0.004733
0.07347,0.0062968
0.05134,0.004307
0.092316,0.0064669
0.035991,0.003767
0.092296,0.0062914
0.072231,0.0050256
0.052734,0.003379
0.049794,0.0054235
0.073449,0.0069722
0.035978,0.0047253
0.065738,0.007817
0.09249,0.005791
0.052566,0.0036505
0.091337,0.0057602
0.035981,0.003831
0.07315,0.0069396
0.050979,0.0046141
0.08736,0.0075393
0.09044,0.0064685
0.072289,0.0053495
0.093502,0.0050188
0.051064,0.0043141
0.065727,0.0076656
0.093369,0.0055347
0.03599,0.0040797
0.090295,0.0064836
0.048712,0.0057688
0.030473,0.0085664
0.035987,0.00046629
0.086971,0.0077129
0.09215,0.006235
0.027108,0.0053536
0.066223,0.0084663
0.072631,0.0060609
0.03598,0.0045689
0.065692,0.0069377
0.093153,0.006709
0.035977,0.0047547
0.06581,0.0076657
0.072354,0.0059397
0.050629,0.004876
0.087242,0.0077139
0.073301,0.0064632
0.092497,0.0051579
0.035989,0.0042407
0,4.2e-08
0.087272,0.0076227
0.092834,0.0059847
0.092874,0.0051602
0.036061,0.0041094
0.086847,0.0071719
0.073599,0.0069245
0.050457,0.0052208
0.091486,0.0066942
0.050318,0.0048728
0.087198,0.0076248
0.092156,0.0059638
0.050645,0.0047755
0.06533,0.0074202
0.092506,0.0058068
0.092899,0.0051892
0.035604,0.0048188
0.066302,0.007904
0.027206,0.0054933
0.08706,0.0076177
0.07346,0.0061395
0.073809,0.0056529
0.07224,0.0051649
0.051447,0.0043062
0.0093829,0.0079854
0.054677,0.00039154
0,4.1e-08
0.074079,0.0070277
0.089576,0.006716
0.072916,0.0058356
0.03608,0.0047729
0.089358,0.0072779
0.092663,0.0053382
0.035992,0.0039198
0.091398,0.0064557
0.07346,0.0061558
0.050311,0.0050072
0.087146,0.0080482
0.027205,0.0066647
0.0093845,0.0091223
0.053663,0.00055504
0.089982,0.0065038
0.072832,0.0052975
0.050298,0.005176
0.029911,0.0091954
0.053122,0.00093187
