Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"224919000","450200","3281","342.2"
"226254000","450200","3281","344.2"
"227334000","450200","3281","345.7"
"228414000","450200","3281","347.3"
"229494000","450200","3281","348.9"
"230579000","450200","3281","350.5"
"231913000","450100","3281","352.4"
"232993000","450100","3281","354.0"
"234072000","450100","3281","355.6"
"235152000","450100","3281","357.1"
"236231000","450100","3281","358.7"
"237567000","450100","3281","360.7"
"238646000","450100","3281","362.3"
"239726000","450100","3281","363.8"
"240811000","450100","3281","365.4"
"241891000","450100","3281","367.4"
"243225000","450100","3281","369.0"
"244305000","450100","3281","370.9"
"245385000","450100","3281","372.5"
"246464000","450100","3281","374.1"
"247544000","450100","3281","375.7"
"248879000","450100","3281","377.6"
"249959000","450100","3281","379.2"
"251043000","450100","3281","380.8"
"252122000","450100","3281","382.4"
"253202000","450100","3281","383.9"
"254537000","450100","3281","385.9"
"255616000","450100","3281","387.5"
"256695000","450100","3281","389.0"
"257775000","450100","3281","390.6"
"258855000","450100","3281","392.2"
"260190000","450100","3281","394.2"
"261278000","450100","3281","395.7"
"262358000","450100","3281","397.7"
"263437000","450100","3281","399.3"
"264517000","450100","3281","400.9"
"265852000","450100","3281","402.8"
"266930000","450100","3281","404.4"
"268010000","450100","3281","406.0"
"269090000","450100","3281","407.6"
"270169000","450100","3281","409.1"
"271509000","450100","3281","411.1"
"272589000","450100","3281","412.7"
"273669000","450100","3281","414.3"
"274748000","450100","3281","415.8"
"275827000","450100","3281","417.4"
"277162000","450100","3281","419.4"
"278242000","450100","3281","420.9"
"279321000","450100","3281","422.5"
"280400000","450100","3281","424.5"
"281485000","450100","3281","426.1"
"282819000","450100","3281","428.0"
"283898000","450100","3281","429.6"
"284978000","450100","3281","431.2"
"286057000","450100","3281","432.8"
"287138000","450100","3281","434.3"
"288472000","450100","3281","436.3"
"289552000","450100","3281","437.9"
"290636000","450100","3281","439.5"
"291716000","450100","3281","441.0"
"292794000","450100","3281","442.6"
"294130000","450100","3281","444.6"
"295209000","450100","3281","446.1"
"296288000","450100","3280","447.7"
"297367000","450100","3281","449.7"
"298447000","450100","3281","451.3"
"299781000","446600","3281","452.8"
"300866000","446600","3281","454.8"
"301945000","446600","3281","456.4"
"303029000","446600","3281","458.0"
"304109000","446600","3281","459.5"
"305444000","446600","3281","461.5"
"306523000","446600","3281","463.1"
"307603000","446600","3281","464.7"
"308683000","446600","3281","466.2"
"309763000","446600","3281","467.8"
"311103000","446600","3281","469.8"
"312183000","446600","3281","471.4"
"313262000","446600","3281","472.9"
"314341000","446600","3281","474.9"
"315420000","446600","3281","476.5"
"316755000","446600","3281","478.5"
"317834000","446600","3281","480.0"
"318914000","446600","3281","481.6"
"319993000","446600","3281","483.2"
"321079000","446600","3281","484.8"
"322412000","446600","3281","486.7"
"323492000","446600","3281","488.3"
"324571000","446600","3281","489.9"
"325651000","446600","3281","491.4"
"326730000","446600","3281","493.0"
"328066000","446600","3281","495.0"
"329144000","446600","3281","496.6"
"330223000","446600","3281","498.1"
"331308000","446600","3281","499.7"
"332387000","454000","3281","501.7"
"333722000","454000","3281","503.3"
"334802000","454000","3281","504.8"
"335881000","454000","3281","506.8"
"336960000","454000","3281","508.4"
"338039000","454000","3281","510.0"
"339374000","454000","3281","511.9"
"340453000","454000","3281","513.5"
"341539000","454000","3281","515.1"
"342618000","454000","3281","516.6"
"343698000","454000","3281","518.2"
"345036000","454000","3281","520.2"
"346115000","454000","3281","521.8"
"347195000","454000","3281","523.3"
"348275000","454000","3281","524.9"
"349354000","454000","3281","526.5"
"350695000","454000","3281","528.5"
"351774000","454000","3281","530.0"
"352853000","454000","3281","532.0"
"353932000","454000","3281","533.6"
"355012000","454000","3281","535.2"
"356347000","454000","3281","537.1"
"357427000","454000","3281","538.7"
"358507000","454000","3281","539.5"
"359366000","454000","3281","540.2"
"360359000","454000","3281","540.6"
"361479000","454000","3281","541.4"
"362472000","454000","3281","541.7"
"363330000","454000","3281","542.5"
"364323000","454000","3281","542.8"
"365182000","454000","3281","543.2"
"366431000","454000","3281","544.0"
"367289000","454000","3281","544.3"
"368282000","454000","3281","545.1"
"369141000","454000","3281","545.4"
"370133000","454000","3280","546.2"
"371254000","454000","3280","546.6"
"372247000","454000","3280","547.3"
"373107000","454000","3280","547.7"
"374099000","454000","3280","548.5"
"374958000","454000","3280","548.8"
"376207000","454000","3280","549.6"
"377066000","327200","3280","549.9"
"378059000","327200","3280","550.7"
"378917000","327200","3280","551.1"
"379911000","327200","3281","551.4"
"381030000","327200","3281","552.2"
"382023000","327200","3281","552.5"
"382882000","327200","3281","553.3"
"383875000","327200","3281","553.7"
"384734000","327200","3281","554.0"
"385982000","327200","3281","554.8"
"386846000","327200","3281","555.1"
"387839000","327200","3280","555.9"
"388698000","327200","3280","556.3"
"389690000","327200","3280","557.0"
"390810000","327200","3280","557.4"
"391804000","327200","3280","558.2"
"392662000","327200","3280","558.5"
"393655000","327200","3280","559.3"
"394514000","327200","3280","559.6"
"395762000","327200","3280","560.4"
"396620000","327200","3280","560.8"
"397613000","327200","3280","561.5"
"398471000","327200","3281","561.9"
"399465000","327200","3281","562.2"
"400585000","327200","3281","563.0"
"401578000","327200","3281","563.4"
"402437000","327200","3281","564.1"
"403430000","327200","3281","564.5"
"404290000","327200","3281","565.3"
"405538000","327200","3281","565.6"
"406396000","327200","3281","566.4"
"407389000","327200","3281","566.7"
"408248000","327200","3280","567.1"
"409241000","327200","3280","567.9"
"410355000","327200","3280","568.2"
"411354000","327200","3280","569.0"
"412213000","327200","3280","569.3"
"413205000","327200","3280","570.1"
"414064000","327200","3280","570.5"
"415313000","327200","3280","571.2"
"416171000","327200","3280","571.6"
"417164000","327200","3280","572.4"
"418023000","327200","3281","572.7"
"419016000","327200","3281","573.1"
"420131000","327200","3281","573.8"
"421129000","327200","3281","574.6"
"421987000","327200","3281","575.0"
"422981000","327200","3281","575.3"
"423840000","327200","3281","576.1"
"425088000","327200","3281","576.4"
"425946000","327200","3281","577.2"
"426940000","327200","3281","577.6"
"427799000","327200","3281","577.9"
"428797000","327200","3281","578.7"
"429911000","327200","3281","579.4"
"430909000","327200","3281","579.8"
"431768000","327200","3281","580.2"
"432762000","327200","3281","580.9"
"433621000","327200","3281","581.3"
"434869000","327200","3281","582.0"
"435728000","327200","3281","582.4"
