Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"212880000","523400","3274","21544.1"
"213972000","523400","3274","21546.0"
"215320000","523400","3274","21548.4"
"216412000","523400","3274","21550.3"
"217506000","523400","3274","21552.3"
"218599000","523400","3274","21554.2"
"219697000","523400","3274","21556.2"
"221046000","523400","3274","21558.1"
"222139000","523400","3274","21560.1"
"223232000","523400","3274","21562.0"
"224325000","523400","3274","21563.9"
"225417000","523400","3274","21565.9"
"226765000","523400","3274","21568.2"
"227858000","523400","3274","21570.2"
"228951000","523400","3274","21572.1"
"230050000","523400","3274","21573.7"
"231143000","523400","3274","21575.6"
"232491000","523500","3274","21578.0"
"233584000","523500","3274","21579.9"
"234676000","523500","3274","21581.9"
"235774000","523500","3274","21583.8"
"236867000","523500","3274","21585.8"
"238215000","523500","3274","21588.1"
"239307000","523500","3274","21590.0"
"240407000","523500","3274","21591.6"
"241499000","523500","3274","21593.5"
"242592000","523500","3274","21595.5"
"243940000","523500","3274","21597.8"
"245033000","523500","3274","21599.8"
"246126000","523500","3274","21601.7"
"247219000","523500","3274","21603.7"
"248311000","523500","3274","21605.6"
"249665000","523500","3274","21607.5"
"250758000","523500","3274","21609.5"
"251851000","523500","3274","21611.4"
"252944000","523500","3274","21613.4"
"254037000","523500","3274","21615.3"
"255386000","523500","3274","21617.7"
"256479000","523500","3274","21619.6"
"257572000","523500","3274","21621.6"
"258666000","523500","3274","21623.5"
"259764000","523500","3274","21625.1"
"261111000","523400","3274","21627.4"
"262204000","523400","3274","21629.3"
"263298000","523400","3274","21631.3"
"264390000","523400","3274","21633.2"
"265483000","523400","3274","21635.2"
"266832000","523400","3274","21637.5"
"267925000","523400","3274","21639.5"
"269018000","523400","3274","21641.0"
"270116000","523400","3274","21643.0"
"271209000","523400","3274","21644.9"
"272557000","523400","3274","21647.3"
"273650000","523400","3274","21649.2"
"274743000","523400","3274","21651.1"
"275836000","523400","3274","21653.1"
"276934000","523400","3274","21655.0"
"278283000","523400","3274","21657.4"
"279381000","523400","3274","21658.9"
"280475000","523400","3274","21660.9"
"281568000","523400","3274","21662.8"
"282660000","523400","3274","21664.8"
"284008000","523400","3274","21667.1"
"285101000","523400","3274","21669.1"
"286194000","523400","3274","21671.0"
"287287000","523400","3274","21672.6"
"288381000","523400","3274","21674.5"
"289735000","523400","3274","21676.8"
"290827000","523400","3274","21678.8"
"291920000","523400","3274","21680.7"
"293013000","523400","3274","21682.7"
"294107000","523400","3274","21684.6"
"295455000","523400","3274","21687.0"
"296548000","523400","3274","21688.9"
"297641000","523400","3274","21690.9"
"298733000","523400","3274","21692.4"
