on tims (s),off time (s)
1.1069,8.9587
1.1229,6.036
1.1219,6.0437
1.1353,6.0373
1.1356,6.0572
1.1339,6.0453
1.1561,6.0599
1.1372,6.0409
1.1544,6.0487
1.1315,6.051
1.1313,6.0304
0,4.2e-08
1.12,6.0868
1.1489,6.0226
1.1254,5.9946
1.125,6.0012
1.1345,5.9833
1.1411,6.0125
1.1458,5.9769
0,4.2e-08
1.1459,5.9761
1.1314,5.9878
1.1296,5.9806
1.1365,5.9843
1.1254,6.0246
1.147,6.0355
1.1269,6.0392
1.1263,6.0426
1.1195,6.0451
1.123,6.0522
1.1237,6.0297
1.1379,5.9674
1.112,6.0511
0,4.1e-08
1.2958,6.0483
0,1.8478
