on tims (s),off time (s)
0.88386,13.623
0.95705,10.579
0.96424,10.524
0.96295,10.531
0.96418,10.523
0.94014,10.529
0.96132,10.444
0.95966,10.416
0.95861,10.421
0.95749,10.488
0.95927,10.465
0.95061,10.484
0.94155,10.578
0.95547,10.536
0.95633,10.364
0.9501,10.415
0.95671,10.549
0.95157,10.549
0.94579,10.632
0.93108,10.725
0.94977,10.669
0.94752,10.664
0.94381,10.606
0.92765,10.644
0.94866,10.633
0.95719,10.552
0.95656,10.657
0.9439,10.572
0.91908,10.652
0.95188,10.663
0,4.1e-08
0.94567,10.657
0.91909,10.559
0.94117,10.608
0.9412,10.605
0.94146,10.575
0.94614,10.576
0.93854,10.576
0.98633,10.618
1.1351,10.539
0.01362,10.528
0,5.6533
