Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"227588000","519200","3274","402.0"
"228935000","519200","3274","404.4"
"230028000","519200","3274","406.3"
"231121000","519200","3274","408.3"
"232220000","519200","3274","410.2"
"233313000","519200","3274","411.8"
"234661000","519200","3274","414.1"
"235754000","519200","3274","416.1"
"236848000","519200","3274","418.0"
"237940000","519200","3274","419.9"
"239033000","519200","3274","421.9"
"240385000","519200","3274","423.8"
"241478000","519200","3274","425.8"
"242576000","519200","3274","427.7"
"243669000","519200","3274","429.7"
"244762000","519200","3274","431.6"
"246112000","519200","3274","434.0"
"247204000","519200","3274","435.9"
"248298000","519200","3274","437.9"
"249391000","519200","3274","439.8"
"250484000","519200","3274","441.4"
"251832000","523500","3274","443.7"
"252930000","523500","3274","445.6"
"254023000","523500","3274","447.6"
"255116000","523500","3274","449.5"
"256208000","523500","3274","451.5"
"257557000","523500","3274","453.4"
"258650000","523500","3274","455.4"
"259742000","523500","3274","457.3"
"260836000","523500","3274","459.3"
"261929000","523500","3274","461.2"
"263283000","523500","3274","463.5"
"264377000","523500","3274","465.1"
"265469000","523500","3274","467.4"
"266561000","523500","3274","469.4"
"267655000","523500","3274","471.3"
"269002000","523500","3274","473.3"
"270095000","523500","3274","475.2"
"271188000","523500","3274","477.2"
"272287000","523500","3274","479.1"
"273380000","523500","3274","481.1"
"274728000","523500","3274","483.4"
"275822000","523500","3274","484.9"
"276915000","523500","3274","486.9"
"278008000","523500","3274","488.8"
"279101000","523500","3274","490.8"
"280449000","523500","3274","493.1"
"281542000","523500","3274","494.7"
"282646000","523500","3274","496.6"
"283738000","523500","3274","498.6"
"284832000","523500","3274","500.5"
"286179000","523500","3274","502.9"
"287273000","523500","3274","504.8"
"288365000","523500","3274","506.7"
"289458000","523500","3274","508.7"
"290551000","523500","3274","510.6"
"291900000","523500","3274","513.0"
"292999000","523500","3274","514.5"
"294092000","523500","3274","516.5"
"295184000","523500","3274","518.4"
"296277000","523500","3274","520.4"
"297625000","523500","3274","522.7"
"298718000","523500","3274","524.7"
"299811000","523500","3274","526.2"
"300903000","523500","3274","528.2"
"301996000","523500","3274","530.1"
"303349000","523500","3274","532.4"
"304442000","523500","3274","534.4"
"305535000","523500","3274","536.3"
"306627000","523500","3274","538.3"
"307720000","523500","3274","540.2"
"309067000","519300","3274","542.2"
"310160000","519300","3274","544.1"
"311253000","519300","3274","546.1"
"312351000","519300","3274","548.0"
"313443000","519300","3274","550.0"
"314792000","519300","3274","552.3"
"315886000","519300","3274","553.8"
"316979000","519300","3274","555.8"
"318071000","519300","3274","557.7"
"319164000","519300","3274","559.7"
"320513000","519300","3274","562.0"
"321607000","519300","3274","564.0"
"322705000","519300","3274","565.5"
"323798000","519300","3274","567.5"
"324896000","519300","3274","569.4"
"326243000","519300","3274","571.7"
"327336000","519300","3274","573.7"
"328430000","519300","3274","575.6"
"329521000","519300","3274","577.6"
"330615000","519300","3274","579.5"
"331962000","519300","3274","581.5"
"333061000","519300","3274","583.4"
"334153000","519300","3274","585.4"
"335246000","519300","3274","587.3"
"336338000","519300","3274","589.3"
"337687000","523500","3274","591.6"
"338780000","523500","3274","593.1"
"339872000","523500","3273","595.1"
"340965000","523500","3274","597.0"
"342058000","523500","3274","599.0"
"343411000","523500","3274","601.3"
"344505000","523500","3274","602.9"
"345598000","523500","3274","605.2"
"346691000","523500","3274","607.2"
"347784000","523500","3274","609.1"
"349132000","523500","3274","611.1"
"350225000","523500","3274","613.0"
"351318000","523500","3274","615.0"
"352416000","523500","3274","616.9"
"353510000","523500","3274","618.8"
"354858000","523500","3274","621.2"
"355952000","523500","3274","622.7"
"357044000","523500","3274","624.7"
"358137000","523500","3274","626.6"
"359230000","523500","3274","628.6"
"360578000","523500","3274","630.9"
"361671000","523500","3274","632.5"
"362770000","523500","3274","634.4"
"363863000","523500","3274","636.4"
"364955000","523500","3274","638.3"
"366308000","519200","3274","640.6"
"367401000","519200","3274","642.6"
"368494000","519200","3274","644.5"
"369587000","519200","3274","646.5"
"370679000","519200","3274","648.4"
"372026000","519200","3274","650.4"
"373125000","519200","3274","652.3"
"374218000","519200","3274","654.3"
"375311000","519200","3274","656.2"
"376403000","519200","3274","658.2"
"377752000","519200","3274","660.5"
"378846000","519200","3274","662.0"
"379939000","519200","3274","664.0"
"381031000","519200","3274","665.9"
"382124000","519200","3274","667.9"
"383477000","519200","3274","670.2"
"384570000","519200","3274","671.8"
"385663000","519200","3274","674.1"
"386756000","519200","3275","676.1"
"387850000","519200","3275","678.0"
"389198000","519200","3274","679.9"
"390290000","519200","3274","681.9"
"391383000","519200","3274","683.8"
"392481000","519200","3274","685.8"
"393575000","519200","3274","687.7"
"394923000","523500","3274","690.1"
"396016000","523500","3274","691.6"
"397108000","523500","3274","693.6"
"398200000","523500","3274","695.5"
"399294000","523500","3274","697.5"
"400642000","523500","3274","699.8"
"401735000","523500","3274","701.3"
"402833000","523500","3274","703.3"
"403925000","523500","3274","705.2"
"405018000","523500","3274","707.2"
"406367000","523500","3274","709.5"
"407459000","523500","3274","711.5"
"408558000","523500","3274","713.4"
"409649000","523500","3274","715.4"
"410743000","523500","3274","717.3"
"412090000","523500","3274","719.7"
"413189000","523500","3274","721.2"
"414282000","523500","3274","723.2"
"415375000","523500","3274","725.1"
"416467000","523500","3274","727.0"
"417816000","523500","3274","729.4"
"418908000","523500","3274","731.3"
"420001000","523500","3274","732.9"
"421093000","523500","3274","734.8"
"422187000","523500","3274","736.8"
"423540000","519300","3274","739.1"
"424633000","519300","3274","741.1"
"425726000","519300","3274","743.0"
"426819000","519300","3274","745.0"
"427912000","519300","3274","746.9"
"429260000","519300","3274","749.2"
"430353000","519300","3274","750.8"
"431446000","519300","3274","752.7"
"432544000","519300","3274","754.7"
"433637000","519300","3274","756.6"
"434986000","519300","3274","759.0"
"436079000","519300","3274","760.5"
"437171000","519300","3274","762.5"
"438264000","519300","3274","764.4"
"439356000","519300","3274","766.4"
"440705000","519300","3274","768.7"
"441797000","519300","3274","770.6"
"442896000","519300","3274","772.2"
"443989000","519300","3273","774.1"
"445082000","519300","3273","776.1"
"446429000","519300","3273","778.4"
"447522000","519300","3273","780.4"
"448614000","519300","3273","782.3"
"449706000","519300","3273","784.3"
"450803000","519300","3273","786.2"
"452152000","523600","3273","788.5"
"453250000","523600","3273","790.5"
"454343000","523600","3273","792.0"
"455436000","523600","3273","794.0"
"456529000","523600","3273","795.9"
"457876000","523600","3273","798.3"
"458969000","523600","3273","800.2"
"460062000","523600","3273","801.8"
"461155000","523600","3273","803.7"
"462254000","523600","3273","805.7"
"463603000","523600","3273","808.0"
"464696000","523600","3274","810.0"
"465789000","523600","3274","811.9"
"466882000","523600","3274","813.8"
"467975000","523600","3274","815.8"
"469322000","523600","3274","818.1"
"470416000","523600","3274","819.7"
"471508000","523600","3274","821.6"
"472607000","523600","3274","823.6"
"473699000","523600","3274","825.5"
"475048000","523600","3274","827.9"
"476141000","523600","3274","829.8"
"477234000","523600","3274","831.4"
"478327000","523600","3274","833.3"
"479419000","523600","3274","835.3"
"480766000","519300","3274","837.6"
"481860000","519300","3274","839.5"
"482958000","519300","3273","841.1"
"484051000","519300","3273","843.0"
"485144000","519300","3273","845.0"
"486492000","519300","3273","847.3"
"487585000","519300","3273","849.7"
"488678000","519300","3273","851.2"
"489771000","519300","3273","853.2"
"490864000","519300","3273","855.1"
"492222000","519300","3273","857.4"
"493315000","519300","3274","859.4"
"494408000","519300","3274","860.9"
"495502000","519300","3274","862.9"
"496594000","519300","3274","864.8"
"497942000","519300","3274","867.2"
"499040000","519300","3274","869.1"
"500133000","519300","3274","871.1"
"501226000","519300","3274","872.6"
"502324000","519300","3274","874.6"
"503672000","519300","3274","876.9"
"504764000","519300","3274","878.8"
"505857000","519300","3274","880.8"
"506950000","519300","3274","882.7"
"508043000","519300","3274","884.7"
"509391000","523400","3274","887.0"
"510484000","523400","3274","888.6"
"511577000","523400","3274","890.5"
"512676000","523400","3274","892.5"
"513769000","523400","3274","894.4"
"515117000","523400","3274","896.8"
"516211000","523400","3274","898.7"
"517304000","523400","3274","900.2"
"518397000","523400","3274","902.2"
"519489000","523400","3274","904.1"
"520837000","523400","3274","906.5"
"521930000","523400","3274","908.4"
"523029000","523400","3274","910.4"
"524121000","523400","3274","911.9"
"525214000","523400","3274","913.9"
"526562000","523400","3274","916.6"
"527655000","523400","3274","918.6"
"528748000","523400","3274","920.1"
"529841000","523400","3274","922.1"
"530935000","523400","3274","924.0"
"532289000","523400","3274","926.3"
"533382000","523400","3274","928.3"
"534480000","523400","3274","930.2"
"535573000","523400","3274","931.8"
"536666000","523400","3274","933.7"
"538014000","519200","3274","936.1"
"539106000","519200","3274","938.0"
"540199000","519200","3274","940.0"
"541292000","519200","3274","941.9"
"542391000","519200","3274","943.5"
"543739000","519200","3274","945.8"
"544832000","519200","3274","947.7"
"545925000","519200","3274","949.7"
"547018000","519200","3274","951.6"
"548110000","519200","3274","953.6"
"549458000","519200","3274","955.9"
"550551000","519200","3274","957.9"
"551644000","519200","3274","959.8"
"552742000","519200","3274","961.8"
"553835000","519200","3274","963.3"
"555183000","519200","3274","965.6"
"556275000","519200","3274","967.6"
"557368000","519200","3273","969.5"
"558460000","519200","3274","971.5"
"559553000","519200","3274","973.4"
"560901000","519200","3274","975.4"
"561994000","519200","3274","977.3"
"563093000","519200","3274","979.3"
"564186000","519200","3274","981.2"
"565279000","519200","3274","983.2"
"566627000","523600","3274","985.5"
"567720000","523600","3274","987.4"
"568814000","523600","3274","989.4"
"569907000","523600","3274","991.3"
"570999000","523600","3274","992.9"
"572353000","523600","3274","995.2"
"573446000","523600","3274","997.2"
"574538000","523600","3274","999.1"
"575632000","523600","3274","1001.1"
"576728000","523600","3274","1003.0"
"578078000","523600","3274","1005.0"
"579170000","523600","3274","1006.9"
"580264000","523600","3274","1008.8"
"581356000","523600","3274","1010.8"
"582455000","523600","3274","1012.7"
"583803000","523600","3274","1015.1"
"584896000","523600","3274","1017.0"
"585989000","523600","3274","1019.0"
"587081000","523600","3274","1020.9"
"588174000","523600","3274","1022.9"
"589522000","523600","3274","1024.8"
"590615000","523600","3274","1026.8"
"591707000","523600","3274","1028.7"
"592805000","523600","3274","1030.7"
"593898000","523600","3274","1032.6"
"595246000","523500","3274","1034.9"
"596339000","523500","3274","1036.5"
"597432000","523500","3274","1038.4"
"598525000","523500","3274","1040.4"
"599617000","523500","3274","1042.3"
"600966000","523500","3274","1044.7"
"602059000","523500","3274","1046.6"
"603158000","523500","3274","1048.2"
"604250000","523500","3275","1050.1"
"605344000","523500","3275","1052.1"
"606692000","523500","3275","1054.4"
"607784000","523500","3275","1056.7"
"608878000","523500","3275","1058.3"
"609971000","523500","3275","1060.2"
"611064000","523500","3275","1062.2"
"612417000","523500","3275","1064.5"
"613510000","523500","3275","1066.5"
"614602000","523500","3275","1068.0"
"615696000","523500","3275","1070.0"
"616789000","523500","3275","1071.9"
"618141000","523500","3275","1074.2"
"619234000","523500","3275","1076.2"
"620327000","523500","3275","1078.1"
"621420000","523500","3275","1080.1"
"622519000","523500","3275","1081.6"
"623868000","519200","3275","1084.0"
"624961000","519200","3275","1085.9"
"626054000","519200","3275","1087.9"
"627146000","519200","3275","1089.8"
"628239000","519200","3275","1091.8"
"629586000","519200","3275","1094.1"
"630679000","519200","3275","1096.0"
"631772000","519200","3275","1098.0"
"632871000","519200","3275","1099.9"
"633964000","519200","3275","1101.5"
"635313000","519200","3275","1103.8"
"636405000","519200","3275","1105.8"
"637498000","519200","3275","1107.7"
"638590000","519200","3275","1109.7"
"639683000","519200","3275","1111.6"
"641031000","519200","3275","1113.6"
"642124000","519200","3275","1115.5"
"643222000","519200","3275","1117.5"
"644315000","519200","3275","1119.4"
"645408000","519200","3274","1121.3"
"646756000","519200","3274","1123.7"
"647848000","519200","3274","1125.6"
"648942000","519200","3274","1127.6"
"650035000","519200","3275","1129.5"
"651128000","519200","3274","1131.1"
"652481000","523600","3274","1133.4"
"653575000","523600","3274","1135.4"
"654667000","523600","3274","1137.3"
"655760000","523600","3274","1139.3"
"656853000","523600","3274","1141.2"
"658202000","523600","3274","1143.1"
"659296000","523600","3274","1145.1"
"660393000","523600","3274","1147.0"
"661486000","523600","3274","1149.0"
"662584000","523600","3274","1150.9"
"663932000","523600","3274","1153.3"
"665025000","523600","3274","1155.2"
"666119000","523600","3274","1157.2"
"667212000","523600","3274","1159.1"
"668304000","523600","3274","1161.1"
"669652000","523600","3274","1163.4"
"670745000","523600","3274","1164.9"
"671838000","523600","3274","1166.9"
"672936000","523600","3274","1168.8"
"674028000","523600","3274","1170.8"
"675376000","523600","3274","1173.1"
"676469000","523600","3274","1175.1"
"677561000","523600","3274","1176.6"
"678654000","523600","3274","1178.6"
"679747000","523600","3274","1180.5"
"681095000","523600","3274","1182.8"
"682188000","523600","3274","1184.8"
"683287000","523600","3274","1186.7"
"684380000","523600","3274","1188.3"
"685473000","523600","3274","1190.2"
"686820000","523600","3274","1193.0"
"687914000","523600","3274","1194.9"
"689006000","523600","3274","1196.5"
"690099000","523600","3274","1198.4"
"691192000","523600","3274","1200.4"
"692547000","523600","3274","1202.7"
"693639000","523600","3274","1204.7"
"694732000","523600","3274","1206.6"
"695825000","523600","3274","1208.5"
"696918000","523600","3274","1210.1"
"698266000","523600","3274","1212.4"
"699359000","523600","3274","1214.4"
"700451000","523600","3274","1216.3"
"701544000","523600","3274","1218.3"
"702646000","523600","3274","1219.8"
"703994000","523600","3274","1222.2"
"705087000","523600","3274","1224.1"
"706179000","523600","3274","1226.1"
"707272000","523600","3273","1228.0"
"708366000","523600","3273","1230.0"
"709713000","523500","3273","1232.3"
"710807000","523500","3273","1234.2"
"711900000","523500","3274","1236.2"
"712999000","523500","3274","1238.1"
"714092000","523500","3274","1239.7"
"715440000","523500","3273","1242.0"
"716533000","523500","3273","1244.0"
"717626000","523500","3273","1245.9"
"718718000","523500","3273","1247.9"
"719811000","523500","3273","1249.4"
"721159000","523500","3273","1251.7"
"722257000","523500","3273","1253.7"
"723351000","523500","3273","1255.6"
"724444000","523500","3273","1257.6"
"725536000","523500","3273","1259.5"
"726885000","523500","3273","1261.9"
"727978000","523500","3273","1263.8"
"729072000","523500","3273","1265.8"
"730165000","523500","3273","1267.3"
"731257000","523500","3273","1269.3"
"732610000","523500","3273","1271.6"
"733703000","523500","3273","1273.5"
"734795000","523500","3273","1275.5"
"735888000","523500","3273","1277.4"
"736981000","523500","3273","1279.0"
"738330000","519300","3273","1281.3"
"739422000","519300","3273","1283.3"
"740515000","519300","3273","1285.2"
"741608000","519300","3273","1287.2"
"742706000","519300","3273","1289.1"
"744058000","519300","3273","1291.1"
"745151000","519300","3273","1293.0"
"746243000","519300","3273","1294.9"
"747336000","519300","3273","1296.9"
