on tims (s),off time (s)
0.75623,16.94
0.81735,9.8446
0.82092,9.9001
0.82233,9.9542
0.79601,9.929
0.82043,9.9788
0.81955,9.9914
0.82133,9.98
0.8213,10.028
0.82141,9.9865
0.82357,9.9843
0.8234,9.9766
0.82449,9.9788
0.81837,9.9685
0.81618,9.9463
0.81905,9.9488
0.82504,9.9917
0.82003,10.016
0.81822,9.9969
0.81803,10.018
0.80425,10.014
0.82017,10.009
0.81862,10.071
0.82033,9.9383
0.82055,9.9199
0.81578,10.013
0.8181,10.028
0.81661,10.012
0.82152,10.036
0.81977,10.03
0.8179,10.039
0.8198,10.002
0,4.2e-08
0.79603,10.028
0.81518,10.046
0.81584,10.07
0.81514,10.023
0.82024,9.9508
0.81844,10.02
0.8215,9.9987
0.81526,9.9909
0.81566,9.9837
0.81811,9.9005
0.79601,9.9777
0.79603,10.006
0.818,9.988
0.80481,9.9271
0.81806,9.938
0.79577,9.9745
0.81698,9.9641
0.81755,9.972
0.81575,9.9625
0.81763,9.9996
0.81939,10.004
0.81603,10.012
0.81434,9.968
0.8141,9.9945
0.81643,9.949
0,4.1e-08
0.81601,9.9553
0.81712,9.95
0.81967,9.9415
0.79576,9.9287
0.81437,9.9826
0.81561,9.9449
0.8117,10.005
0.81334,9.9476
0.81405,9.971
0.81382,9.9931
0.79601,10.02
0.81289,10.033
0.7872,10.046
0.8131,10.126
0.81473,10.075
0.81183,10.016
0.81089,10.073
0.8102,9.983
0,4.2e-08
0.81453,9.9923
0.81207,10.197
0.81229,9.9371
0.81015,10.102
0.80911,10.08
0.79574,9.9744
0.81239,9.968
0.79573,10.048
0.81539,9.9651
0.81348,10.077
0.79597,10.118
0.81399,10.142
0.81426,10.106
0.81572,10.027
0.81551,10.008
0.81637,10.045
0.8165,9.974
0.81497,9.9496
0,4.2e-08
0.81504,9.9987
0.79602,9.9741
0.81741,10.002
0.81442,9.9729
0.81668,9.9624
0.81481,9.9819
0,4.2e-08
0.81864,9.9787
0.8168,9.9623
0.85767,9.9645
0.91912,9.9513
0.92034,9.948
0.91943,9.9592
0.91881,9.9631
0,4.2e-08
0.0095343,9.9379
0.92121,9.9373
0.91867,9.9266
