on tims (s),off time (s)
0.9283,5.3881
0.94248,5.5705
0,4.1e-08
0.9468,5.558
0.94508,5.4271
5e-07,5.4351
9.59e-07,5.4281
4.2e-08,5.4355
0.87569,5.4498
0.95056,5.4498
0,5.4629
5.83e-07,5.4611
0.95191,5.4456
0.95033,5.4577
0.95057,5.4527
0.95082,5.4511
0.76957,5.4973
1.459e-06,5.5049
0.94373,5.5133
0.94864,5.5176
0.94313,5.5369
0,5.5377
2.91e-07,5.5323
0.94428,5.5488
0,4.2e-08
0.94596,5.5347
0.94673,5.5495
0.94414,5.53
1.959e-06,5.5292
0.94139,5.5348
0,4.2e-08
0.93856,5.5417
0.93836,5.5396
0.94007,5.5554
0.93741,5.5638
0.93637,5.5479
0.94115,5.498
0.94344,5.522
1.25e-06,5.4332
0.92805,5.5107
0.93553,5.5047
0.93329,5.5292
0.92841,5.515
0.93684,5.5249
0.93296,5.5389
0,4.2e-08
0.93504,5.5258
0,5.5006
0.92967,5.5258
0.93451,5.5298
0.9319,5.5262
0.93361,5.5345
0.93469,5.5296
0.93423,5.5278
0.92923,5.5258
0.92841,5.5234
4.17e-07,5.5105
0.93371,5.5306
0.93254,5.517
0.93383,5.5153
0.93435,5.5303
4.17e-07,5.5362
0.93083,5.5259
0.93263,5.529
0.93327,5.5263
0.93309,5.5338
0.93108,5.513
0.93467,5.5192
0.93487,5.5336
0.92951,5.5188
0.93336,5.531
0.93526,5.4913
0.9354,5.5338
0.93337,5.5268
0.92991,5.5295
0.93318,5.5061
0.93345,5.5248
0.92848,5.5158
0.93062,5.5215
