executionTime(s)
106.9
105.34
84.405
104.5
104.32
104.39
84.352
104.11
104.33
102.69
82.789
102.71
102.81
82.907
102.81
102.72
82.894
102.67
102.61
82.841
102.82
102.79
82.964
102.59
102.5
82.486
102.22
102.41
82.831
102.63
102.46
82.802
102.69
82.821
102.59
82.815
102.6
102.69
82.838
102.61
82.894
102.75
82.971
102.55
82.917
103.14
83.126
103.09
83.11
103.02
