on tims (s),off time (s)
0.80712,13.391
0.80787,20.485
0.80974,20.372
0.811,20.571
0.82444,20.67
0.79611,20.616
0.80844,20.622
0.80867,20.616
0.7876,20.6
0.80561,20.604
0.81626,20.598
0.81432,20.486
0.79618,20.144
0.78762,20.133
0.81522,20.149
0.79618,20.182
0.77906,20.117
0.80118,20.136
0.78775,20.159
0.78761,20.131
0.81166,20.176
0.81221,20.101
0.78763,20.133
0.78775,20.118
0.8095,20.13
0.77911,20.105
0.77906,20.089
0.80114,20.102
0.77923,20.046
0.80053,20.073
0.77908,20.137
0.81055,20.131
0.79842,20.075
0,4.2e-08
0.80223,20.126
0.78765,20.115
0.7961,20.144
0.7962,20.176
0.8026,20.113
0.77908,20.076
0.80608,20.099
0.77906,20.038
0.79619,20.004
0.81408,20.055
0.81443,20.06
0.79619,20.134
0.80593,20.722
0.80019,19.966
0.78776,19.611
0.81459,19.808
0.8169,19.774
0.80889,19.765
0.81139,19.756
0.81943,19.748
0.80477,19.748
0.7962,19.741
0.79619,19.771
0.81093,19.727
0.79611,19.707
0.80475,19.729
0.80475,19.811
0.82186,19.813
0.80486,19.831
0.81095,19.792
0.81373,19.769
0.81756,19.828
0.82298,19.797
0.81169,19.79
0.81113,19.768
0.78758,19.762
0.80473,19.767
0.79622,19.812
0.8125,19.809
0.79616,19.782
0.79619,19.802
0.81311,19.791
0.81458,19.801
0.82132,19.792
0.8214,19.799
0.79616,19.767
0.81244,19.785
0.82236,19.75
0.79616,19.767
0,4.1e-08
0.8047,19.749
0.81296,19.784
0.81217,19.795
0.81364,19.792
0.80472,19.768
0.81438,19.795
0.80471,19.73
0.79629,19.757
0.81121,19.758
0.8229,19.749
0.81393,19.769
0.815,19.773
0.82372,19.73
0.82676,19.791
0.82162,19.757
0.82065,19.726
0.82421,19.76
0.80471,19.8
0.81776,19.77
0.82571,19.777
0.82322,19.828
0.79629,19.799
0.79612,19.821
0.81457,19.817
0.79608,19.812
0.79616,19.752
0.81166,19.763
0.82179,19.791
0.81262,19.784
0.82364,19.819
0,4.2e-08
0.81365,19.769
0.80469,19.745
0.81374,19.793
0.80469,19.723
0,4.2e-08
0.8108,19.775
0.81224,19.731
0.81979,19.784
0.81217,19.679
0.81296,19.758
0.81319,19.734
0.7963,19.725
0.811,19.685
0.81115,19.616
0.80472,19.7
0.81319,19.69
0.80469,19.704
0.81772,19.641
0.82355,19.658
0.82154,19.723
0.79629,19.656
0.80471,19.711
0.81612,19.691
0.81518,19.757
0.8158,19.67
0.82844,19.748
0.8258,19.774
0.82805,19.766
0.82056,19.765
0.82953,19.727
0.81324,19.755
0.82383,19.744
0.83033,19.764
0.83262,19.752
0.82819,19.785
0.80467,19.753
0.80474,19.717
0.83647,19.696
0.82182,19.714
0.8316,19.748
0.83736,19.725
0.8132,19.774
0.83692,19.735
0.84252,19.77
0.84109,19.749
0.81325,19.779
0.84108,19.791
0.82923,19.783
0.83976,19.749
0.83452,19.743
0.84387,19.763
0.83761,19.736
0.8366,19.771
0.81322,19.736
0.84001,19.795
0.82824,19.734
0.81324,19.74
0.83746,19.762
0.82833,19.739
0.83044,19.761
0.8288,19.77
0.82192,19.749
0.82177,19.76
0.83209,19.751
0.83007,19.76
0.84058,19.751
0.82726,19.745
0.84206,19.77
0.83133,19.791
0.82182,19.747
0.83231,19.781
0.84396,19.763
0.83134,19.775
0.83106,19.741
0.8288,19.765
0.82191,19.751
0.81321,19.75
0.82184,19.735
0.84735,19.742
0.8438,19.753
0.81335,19.788
0.81322,19.736
0.83624,19.743
0.84677,19.796
0.83891,19.808
0.84751,19.803
0.83454,19.767
0.8303,19.787
0.83031,19.75
0.8219,19.807
0.83032,19.803
0.8303,19.788
0.84893,19.796
0.85167,19.784
0.84582,19.789
0.84968,19.732
0.8479,19.701
0.85286,19.722
0.82192,19.766
0.84132,19.774
0.84015,19.797
0.84221,19.751
0.84112,19.786
0.82173,19.852
0.83029,19.858
0.85337,19.841
0.83883,19.854
0.86708,19.889
0.83887,19.825
0.83881,19.855
0.83033,19.792
0.8219,19.841
0.85185,19.807
0.85633,19.903
0.84463,19.836
0.85013,19.837
0.83045,19.867
0.8303,19.821
0.83029,19.831
0.84872,19.853
0.85608,19.793
0.84826,19.845
0.82182,19.813
0.85388,19.83
0.82177,19.879
0.9303,19.818
0.0090598,19.833
