on tims (s),off time (s)
0.72431,14.417
0.85814,11.882
0.87373,11.884
0.86295,11.919
-11.892,11.892
0.85978,8.75e-07
0.86129,11.93
0.86087,11.918
0.86239,11.971
0.85905,11.994
0.86948,12.022
0.86234,11.962
0.87627,11.993
0.8596,11.78
0.87713,11.814
0.8677,11.794
0.86151,11.797
0.86043,11.79
0.86118,11.805
0.86485,11.784
0.87233,11.786
0.87933,11.777
0.88139,11.896
0.88085,11.864
0.87136,11.788
0.86345,11.892
0.87403,11.876
0.88173,11.869
0.86965,11.96
0.86531,11.969
0.87298,11.803
0.86792,11.743
0.86124,11.79
0.87485,11.81
0.88188,11.766
0,4.1e-08
0.87957,11.76
0.86555,11.858
0.87468,11.776
0.86749,11.795
0.88123,11.839
0.86384,11.962
0.878,11.882
0.87253,11.715
0.87891,11.655
0.86135,11.696
0.88082,11.849
0.87941,11.864
0.86807,11.886
0.88288,11.673
0.87878,11.67
0.87564,11.707
0.87732,11.709
0.86609,11.636
0.87117,11.619
0.87834,11.613
0,4.2e-08
0.8802,11.583
0.88232,11.618
0.88091,11.622
0.87745,11.679
0.87705,11.666
0.87329,11.684
0.88369,11.654
0.86573,11.695
0.87686,11.723
0.8721,11.794
0.88112,11.724
0.88343,11.563
0.8827,11.703
0.86881,11.674
0.89079,11.764
0.88923,11.725
0.88489,11.622
0.87739,11.652
0.87374,11.603
0.8862,11.687
0.87482,11.655
0.87787,11.698
0.87024,11.726
0.86893,11.642
0.87404,11.669
0.88456,11.591
0.8878,11.638
0.88371,11.629
0.88947,11.67
0.87634,11.726
0.8859,11.903
0.8794,11.749
0.87179,11.765
0.88702,11.731
0.88403,11.713
0.88741,11.68
0.88495,11.694
0.89078,11.815
0.88095,11.694
0.88198,11.66
0.88722,11.64
0.88721,11.766
0.89422,11.806
0.88523,11.904
0.88103,11.946
0.87774,11.745
0.87763,11.789
0.87957,11.94
0.87724,11.958
0.87413,11.988
0.88546,11.974
0.87999,11.934
0.88605,11.994
0.87528,11.837
0.87685,11.846
0.88832,11.757
0.87839,11.685
0.88256,11.717
0.88817,11.793
0.87768,11.766
0.88179,11.831
0.87653,11.834
0.87689,11.797
0.89336,11.887
0.88147,11.921
0.89028,11.871
0.88272,11.888
0.89202,11.858
0.88721,11.853
0.89564,11.837
0.8935,11.882
0.8778,11.649
0.88736,11.787
0.88166,11.846
0.8902,11.744
0.87999,11.748
0.88116,11.729
0.88495,11.687
0.88827,11.791
0.88416,11.837
0.8838,11.707
0.8854,11.639
0.89177,11.914
0.89335,11.864
0.8808,11.843
0.88688,11.579
0.87689,11.707
0.89162,11.702
0.89337,11.651
0.88204,11.617
0.88883,11.605
0.88673,11.671
0.8871,11.776
0.89408,11.866
0.88347,11.887
0.87097,11.889
0.87691,11.81
0.88128,11.776
0.89261,11.673
0.88328,11.603
0.8919,11.584
0.88826,11.631
0.89248,11.601
0,4.2e-08
0.89677,11.57
0.89938,11.742
0.89831,11.8
0,4.2e-08
0.88518,11.803
0.89379,11.784
0,4.2e-08
0.89834,11.761
0.88993,11.74
0.8799,11.769
0.88576,11.8
0.88949,11.723
0.89796,11.715
0.88567,11.724
0.89344,11.867
0.88801,11.825
0.8895,11.799
0.89819,11.706
0.87313,11.805
0.89074,11.693
0.88228,11.728
0.89797,11.699
0.89612,11.716
0.88746,11.652
0.89853,11.577
0.89954,11.544
0.89402,11.583
0.89777,11.638
0.90069,11.855
0.89019,11.664
0.88943,11.643
0.89558,11.648
0.89038,11.655
0.89051,11.681
0.89938,11.724
0.88836,11.716
0,4.2e-08
0.88107,11.665
0.87916,11.802
0.89456,11.713
0.8869,11.743
0,4.1e-08
0.89569,11.71
0.8966,11.722
0.90361,11.659
0.89698,11.659
0,4.2e-08
0.89203,11.759
0.89112,11.776
0.88068,11.8
0,4.1e-08
0.88959,11.812
0.89966,11.777
0.88918,11.939
0.89355,12.048
0.90401,11.799
0.90137,11.755
0.89736,11.742
0.8957,11.693
0.89235,11.701
0.9029,11.743
0.89412,11.673
0.89791,11.643
0.88851,11.828
0.88663,11.767
0.88852,11.757
0.89788,11.805
0.90412,11.804
0.88862,11.838
0.98506,11.802
1.0618,11.875
1.0778,11.771
1.0823,11.695
1.0869,11.742
1.0812,11.755
1.0735,11.81
1.0709,11.709
1.065,11.75
1.0761,11.594
1.0685,11.655
1.0782,11.74
1.0532,11.744
0,4.2e-08
1.071,11.73
1.0716,11.698
1.0635,11.742
1.0846,11.671
1.0576,11.715
1.0747,11.661
1.062,11.697
1.0619,11.702
1.0793,11.643
1.0707,11.727
1.0715,11.728
1.0833,11.803
1.0757,11.779
1.0689,11.795
1.0804,11.79
1.0649,11.835
0,4.1e-08
1.073,11.734
1.0575,11.715
1.0511,11.968
1.0806,11.963
0.0090615,11.938
1.0748,11.99
1.0771,11.748
1.0635,11.701
1.0701,11.826
1.0833,11.764
1.0887,11.849
1.0785,11.894
1.0835,11.746
1.0739,11.781
1.0776,11.69
1.0872,11.681
1.0861,11.83
1.0775,11.751
1.0868,11.75
1.0697,11.671
1.057,11.701
1.0877,11.753
1.0771,11.762
1.0744,11.727
0,4.2e-08
1.0914,11.867
1.0795,11.889
1.0887,11.691
1.0597,11.787
1.068,11.791
0,4.2e-08
1.093,11.881
1.0767,11.805
0.0090597,11.745
1.0794,11.774
