Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"205985000","3369800","3276","2360.1"
"207077000","3369800","3276","2372.4"
"208169000","3369800","3276","2384.7"
"209262000","3369800","3276","2396.7"
"210360000","3369800","3276","2409.0"
"211708000","3387500","3276","2424.1"
"212801000","3387500","3276","2436.4"
"213893000","3387500","3276","2448.7"
"214986000","3387500","3276","2460.6"
"216078000","3387500","3276","2473.0"
"217426000","3390900","3276","2488.1"
"218518000","3390900","3276","2500.0"
"219615000","3390900","3276","2512.3"
"220708000","3390900","3276","2524.6"
"221801000","3390900","3276","2536.5"
"223149000","3366800","3276","2551.6"
"224241000","3366800","3276","2564.0"
"225334000","3366800","3276","2575.9"
"226426000","3366800","3276","2588.2"
"227519000","3366800","3276","2600.5"
"228867000","3390600","3276","2615.6"
"229966000","3390600","3276","2628.0"
"231059000","3390600","3276","2639.9"
"232156000","3390600","3276","2652.2"
"233249000","3390600","3276","2664.5"
"234596000","3384500","3276","2679.6"
"235689000","3384500","3276","2691.5"
"236781000","3384500","3276","2703.9"
"237875000","3384500","3276","2716.2"
"238967000","3384500","3276","2728.1"
"240321000","3365600","3276","2743.2"
"241413000","3365600","3276","2755.5"
"242505000","3365600","3276","2767.4"
"243597000","3365600","3276","2779.8"
"244689000","3365600","3276","2792.1"
"246037000","3370500","3276","2806.8"
"247130000","3370500","3276","2819.1"
"248222000","3370500","3276","2831.4"
"249315000","3370500","3276","2843.7"
"250413000","3370500","3276","2856.1"
"251761000","3387500","3276","2870.8"
"252853000","3387500","3276","2883.1"
"253946000","3387500","3276","2895.4"
"255038000","3387500","3276","2907.3"
"256131000","3387500","3276","2919.6"
"257479000","3390600","3276","2934.7"
"258572000","3390600","3276","2947.1"
"259670000","3390600","3276","2959.0"
"260763000","3390600","3276","2971.3"
"261855000","3390600","3276","2983.6"
"263203000","3366000","3276","2998.3"
"264296000","3366000","3276","3010.6"
"265389000","3366000","3276","3023.0"
"266481000","3366000","3276","3034.9"
"267574000","3366000","3276","3047.2"
"268921000","3390900","3276","3062.3"
"270019000","3390900","3276","3074.6"
"271112000","3390900","3276","3086.5"
"272204000","3390900","3276","3098.9"
"273296000","3390900","3276","3111.2"
"274648000","3385200","3276","3126.3"
"275740000","3385200","3276","3138.2"
"276833000","3385200","3276","3150.5"
"277925000","3385200","3276","3162.9"
"279017000","3385200","3276","3175.2"
"280371000","3367100","3276","3189.9"
"281463000","3367100","3276","3202.2"
"282556000","3367100","3276","3214.5"
"283648000","3367100","3276","3226.8"
"284741000","3367100","3276","3238.8"
"286090000","3389800","3276","3253.9"
"287183000","3389800","3276","3266.2"
"288275000","3389800","3276","3278.1"
"289366000","3389800","3276","3290.4"
"290465000","3389800","3276","3302.7"
"291812000","3388700","3276","3317.8"
"292905000","3388700","3276","3329.8"
"293997000","3388700","3276","3342.1"
"295090000","3388700","3276","3354.4"
"296182000","3388700","3276","3366.7"
"297531000","3369000","3276","3381.4"
"298623000","3369000","3276","3393.7"
"299722000","3369000","3276","3406.1"
"300813000","3369000","3276","3418.0"
"301906000","3369000","3276","3430.3"
"303254000","3387900","3276","3445.4"
"304346000","3387900","3276","3457.7"
"305438000","3387900","3276","3469.6"
"306531000","3387900","3276","3482.0"
"307622000","3387900","3276","3494.3"
"308970000","3370900","3276","3509.0"
"310067000","3370900","3276","3521.3"
"311160000","3370900","3276","3533.6"
"312252000","3370900","3276","3545.9"
"313344000","3370900","3275","3558.3"
"314692000","3388300","3275","3573.0"
"315789000","3388300","3276","3585.3"
"316882000","3388300","3276","3597.6"
"317974000","3388300","3275","3609.9"
"319066000","3388300","3276","3621.8"
"320419000","3385200","3276","3636.9"
"321512000","3385200","3275","3649.3"
"322604000","3385200","3275","3661.2"
"323696000","3385200","3276","3673.5"
"324788000","3385200","3275","3685.8"
