executionTime
6.2149
6.2149
6.2148
6.2148
6.2149
6.2149
6.2147
6.2147
6.2146
6.2147
6.2147
6.2148
6.2147
6.2147
6.2148
6.2147
6.2147
6.2147
6.2148
6.2147
6.2148
6.2149
6.2149
6.215
6.2149
6.2149
6.2148
6.2149
6.2149
6.215
6.2149
6.2148
6.2149
6.2149
6.2148
6.2148
6.2147
6.2148
6.2149
6.2147
6.2148
6.2147
6.2146
6.2147
6.2147
6.2148
6.2147
6.2148
6.2146
6.2147
