executionTime(s)
0.58142
0.48627
0.52105
0.35848
0.44891
0.48424
0.5175
0.48317
0.3995
0.48497
0.39076
0.51796
0.51981
0.39638
0.43735
0.35777
0.43795
0.39583
0.44059
0.38951
0.38879
0.35971
0.40454
0.4661
0.35986
0.44458
0.39402
0.39029
0.36144
0.46961
0.35864
0.4771
0.40032
0.39821
0.38821
0.44322
0.47635
0.48827
0.35925
0.51373
0.39923
0.47548
0.35691
0.60194
0.36489
0.48121
0.51061
0.36816
0.43422
0.51621
