executionTime
4.4382
4.4384
4.4383
4.4383
4.4382
4.4381
4.4381
4.4382
4.4382
4.4381
4.4381
4.438
4.4381
4.4381
4.4379
4.4379
4.4379
4.438
4.438
4.438
4.4378
4.4378
4.4378
4.4378
4.4378
4.4378
4.4378
4.4379
4.4379
4.4379
4.438
4.438
4.438
4.438
4.4379
4.438
4.4379
4.4382
4.4381
4.438
4.438
4.438
4.4381
4.438
4.4381
4.4381
4.4381
4.4381
4.4381
4.438
