Time.s,Voltage.V,Power.Watt,Energy.J
0.01,1.1572,0.0060872,0.000030436
0.022,1.1475,0.0059848,0.000102868
0.033,1.1475,0.0059848,0.0001687008
0.046,1.1377,0.0058834,0.0002458441
0.057,1.0498,0.0050095,0.00030575505
0.069,1.123,0.0057329,0.00037020945
0.08,1.1182,0.0056831,0.00043299745
0.093,1.123,0.0057329,0.00050720145
0.104,1.1572,0.0060872,0.000572212
0.117,1.1865,0.0063993,0.00065337425
0.13,1.0986,0.0054863,0.00073063065
0.143,1.1719,0.0062422,0.0008068659
0.156,1.123,0.0057329,0.00088470405
0.168,1.2012,0.0065582,0.00095845065
0.182,1.1377,0.0058834,0.00104554185
0.194,1.1768,0.0062944,0.00111860865
0.207,1.0986,0.0054863,0.0011951832
0.22,1.1572,0.0060872,0.00127041095
0.233,1.1963,0.006505,0.00135226025
0.245,1.084,0.005341,0.00142333625
0.259,1.1621,0.0061386,0.00150369345
0.272,1.1377,0.0058834,0.00158183645
0.284,1.1523,0.0060359,0.00165335225
0.297,1.0498,0.0050095,0.00172514735
0.31,1.1572,0.0060872,0.0017972759
0.323,1.1035,0.0055352,0.0018728215
0.335,1.1328,0.005833,0.0019410307
0.349,1.167,0.0061903,0.0020251938
0.361,1.0986,0.0054863,0.0020952534
0.374,1.2061,0.0066117,0.0021738904
0.388,1.167,0.0061903,0.0022635044
0.4,1.167,0.0061903,0.002337788
0.413,1.1279,0.0057828,0.00241561315
0.425,1.1475,0.0059848,0.00248621875
0.439,1.1182,0.0056831,0.00256789405
0.451,1.1328,0.005833,0.00263699065
0.464,1.1426,0.005934,0.00271347615
0.477,1.1426,0.005934,0.00279061815
0.49,1.1426,0.005934,0.00286776015
0.503,1.1328,0.005833,0.00294424565
0.516,1.1328,0.005833,0.00302007465
0.529,1.123,0.0057329,0.003095253
0.541,1.1475,0.0059848,0.0031655592
0.555,1.2109,0.0066653,0.0032541099
0.567,1.1621,0.0061386,0.0033309333
0.58,1.1963,0.006505,0.0034131167
0.592,1.123,0.0057329,0.0034865441
0.606,1.1768,0.0062944,0.0035707352
0.619,1.1621,0.0061386,0.0036515497
0.631,1.167,0.0061903,0.0037255231
0.645,1.1914,0.006452,0.0038140192
0.657,1.167,0.0061903,0.003889873
0.67,1.2061,0.0066117,0.003973086
0.683,1.1279,0.0057828,0.00405365025
0.696,1.1621,0.0061386,0.00413113935
0.708,1.1279,0.0057828,0.00420266775
0.721,1.1133,0.0056336,0.00427687435
0.735,0.029297,0.0000039014,0.0043163368598
0.745,0.092773,0.000039122,0.0043165519768
0.757,1.1426,0.005934,0.0043523907088
0.77,1.1475,0.0059848,0.0044298629088
0.783,1.1426,0.005934,0.0045073351088
0.795,1.1768,0.0062944,0.0045807055088
0.808,1.1621,0.0061386,0.0046615200088
0.821,1.1768,0.0062944,0.0047423345088
0.834,1.0986,0.0054863,0.0048189090588
0.847,1.1719,0.0062422,0.0048951443088
0.86,1.084,0.005341,0.0049704351088
0.873,0.024414,0.0000027093,0.00500516921925
0.883,1.1328,0.005833,0.00503434776575
0.897,1.1768,0.0062944,0.00511923956575
0.909,1.1816,0.0063467,0.00519508616575
0.922,1.1914,0.006452,0.00527827771575
0.934,1.0986,0.0054863,0.00534990751575
0.948,1.1084,0.0055843,0.00542740171575
0.96,1.1621,0.0061386,0.00549773911575
0.973,1.0986,0.0054863,0.00557330096575
0.987,1.123,0.0057329,0.00565183536575
0.999,1.1328,0.005833,0.00572123076575
1.012,1.1523,0.0060359,0.00579837861575
1.026,1.1377,0.0058834,0.00588181371575
1.04,1.1523,0.0060359,0.00596524881575
1.053,1.1377,0.0058834,0.00604272426575
1.068,1.1133,0.0056336,0.00612910176575
1.082,1.167,0.0061903,0.00621186906575
1.095,1.2061,0.0066117,0.00629508206575
1.11,1.1963,0.006505,0.00639345731575
1.123,1.1328,0.005833,0.00647365431575
1.137,1.1279,0.0057828,0.00655496491575
1.152,1.1328,0.005833,0.00664208341575
1.165,1.0742,0.0052452,0.00671409171575
1.179,1.2207,0.0067733,0.00679822121575
1.192,1.2012,0.0065582,0.00688487596575
1.207,1.1572,0.0060872,0.00697971646575
1.221,1.1377,0.0058834,0.00706351066575
1.234,1.1328,0.005833,0.00713966726575
1.249,1.2061,0.0066117,0.00723300251575
1.262,1.1523,0.0060359,0.00731521191575
1.276,1.1377,0.0058834,0.00739864701575
1.291,1.1279,0.0057828,0.00748614351575
1.304,1.1426,0.005934,0.00756230271575
1.318,1.1475,0.0059848,0.00764573431575
1.332,1.1279,0.0057828,0.00772810751575
1.346,1.1914,0.006452,0.00781375111575
1.36,1.2207,0.0067733,0.00790632821575
1.374,1.1963,0.006505,0.00799927631575
1.388,1.1621,0.0061386,0.00808778151575
1.401,1.1084,0.0055843,0.00816398036575
1.416,1.1816,0.0063467,0.00825346286575
1.43,1.1523,0.0060359,0.00834014106575
1.443,1.1865,0.0063993,0.00842096986575
1.458,1.1523,0.0060359,0.00851423386575
1.471,1.1914,0.006452,0.00859540521575
1.485,1.1182,0.0056831,0.00868035091575
1.5,1.1475,0.0059848,0.00876786016575
1.513,1.0107,0.0046436,0.00883694476575
1.527,1.1279,0.0057828,0.00890992956575
1.541,1.0986,0.0054863,0.00898881326575
1.555,1.1475,0.0059848,0.00906911096575
1.569,1.1279,0.0057828,0.00915148416575
1.583,1.1621,0.0061386,0.00923493396575
1.597,1.1279,0.0057828,0.00931838376575
1.61,1.167,0.0061903,0.00939620891575
1.625,1.1426,0.005934,0.00948714116575
1.639,1.167,0.0061903,0.00957201126575
1.652,1.1719,0.0062422,0.00965282251575
1.667,1.1816,0.0063467,0.00974723926575
1.68,1.1377,0.0058834,0.00982673491575
1.694,0.10742,0.000052452,0.00986828587975
1.707,1.1475,0.0059848,0.00990752801775
1.721,1.1523,0.0060359,0.00999167291775
1.735,1.1426,0.005934,0.01007546221775
1.748,1.1377,0.0058834,0.01015227531775
1.763,1.1133,0.0056336,0.01023865281775
1.776,1.167,0.0061903,0.01031550816775
1.79,1.167,0.0061903,0.01040217236775
1.805,1.1621,0.0061386,0.01049463911775
1.818,1.1426,0.005934,0.01057311101775
1.832,1.1621,0.0061386,0.01065761921775
1.846,1.1768,0.0062944,0.01074465021775
1.86,1.1621,0.0061386,0.01083168121775
1.874,1.1768,0.0062944,0.01091871221775
1.888,1.1621,0.0061386,0.01100574321775
1.902,1.0889,0.0053892,0.01108643781775
1.915,1.1133,0.0056336,0.01115808601775
1.93,1.1865,0.0063993,0.01124833276775
1.944,0.03418,0.0000053102,0.01129316503915
1.955,1.1523,0.0060359,0.01132639169525
1.97,1.1523,0.0060359,0.01141693019525
1.983,1.1816,0.0063467,0.01149741709525
1.997,1.0986,0.0054863,0.01158024809525
2.012,0.024414,0.0000027093,0.011621415665
2.023,1.2061,0.0066117,0.01165779491615
2.037,1.1719,0.0062422,0.01174777221615
2.051,1.0742,0.0052452,0.01182818401615
2.065,1.0986,0.0054863,0.01190330451615
2.079,1.1719,0.0062422,0.01198540401615
2.093,1.1768,0.0062944,0.01207316021615
2.107,1.1768,0.0062944,0.01216128181615
2.12,1.1475,0.0059848,0.01224109661615
2.135,1.1816,0.0063467,0.01233358286615
2.148,1.1084,0.0055843,0.01241113436615
2.162,1.1182,0.0056831,0.01249000616615
2.177,1.1426,0.005934,0.01257713441615
2.19,1.1279,0.0057828,0.01265329361615
2.204,1.1768,0.0062944,0.01273783401615
2.217,1.084,0.005341,0.01281346411615
2.232,1.0889,0.0053892,0.01289394061615
2.246,0.03418,0.0000053102,0.01293170218755
2.257,1.1719,0.0062422,0.01296606349365
2.272,1.1914,0.006452,0.01306126999365
2.285,1.2158,0.0067192,0.01314688279365
2.299,1.1426,0.005934,0.01323545519365
2.314,1.1377,0.0058834,0.01332408569365
2.327,1.1523,0.0060359,0.01340156114365
2.341,1.2012,0.0065582,0.01348971984365
2.355,1.1084,0.0055843,0.01357471734365
2.369,1.1621,0.0061386,0.01365677764365
2.383,1.1816,0.0063467,0.01374417474365
2.397,1.1621,0.0061386,0.01383157184365
2.411,1.1572,0.0060872,0.01391715244365
2.424,1.1768,0.0062944,0.01399763284365
2.439,1.1523,0.0060359,0.01409011009365
2.453,1.2061,0.0066117,0.01417864329365
2.466,1.1719,0.0062422,0.01426219364365
2.481,0.20508,0.00019117,0.01431044391865
2.493,1.1475,0.0059848,0.01434749973865
2.507,1.1963,0.006505,0.01443492833865
2.522,1.1865,0.0063993,0.01453171058865
2.535,1.1133,0.0056336,0.01460992443865
2.549,1.123,0.0057329,0.01468948993865
2.563,1.2061,0.0066117,0.01477590213865
2.577,1.1035,0.0055352,0.01486093043865
2.591,1.123,0.0057329,0.01493980713865
2.605,1.1523,0.0060359,0.01502218873865
2.619,1.2109,0.0066653,0.01511109713865
2.632,1.1133,0.0056336,0.01519103998865
2.647,1.1279,0.0057828,0.01527666298865
2.661,1.1523,0.0060359,0.01535939388865
2.674,1.0986,0.0054863,0.01543428818865
2.689,1.1963,0.006505,0.01552422293865
2.702,1.1768,0.0062944,0.01560741903865
2.716,1.1523,0.0060359,0.01569373113865
2.729,1.1035,0.0055352,0.01576894328865
2.744,1.123,0.0057329,0.01585345403865
2.758,1.1865,0.0063993,0.01593837943865
2.771,1.1816,0.0063467,0.01602122843865
2.786,1.1328,0.005833,0.01611257618865
2.799,1.1816,0.0063467,0.01619174423865
2.813,1.1719,0.0062422,0.01627986653865
2.828,1.1719,0.0062422,0.01637349953865
2.841,1.1035,0.0055352,0.01645005263865
2.855,1.1816,0.0063467,0.01653322593865
2.869,1.2158,0.0067192,0.01662468723865
2.883,1.1816,0.0063467,0.01671614853865
2.897,1.123,0.0057329,0.01680070573865
2.911,1.1182,0.0056831,0.01688061773865
2.925,1.1621,0.0061386,0.01696336963865
2.938,0.31738,0.00045787,0.01700624669365
2.952,1.1279,0.0057828,0.01704993138365
2.966,1.1523,0.0060359,0.01713266228365
2.979,1.1816,0.0063467,0.01721314918365
2.994,1.1475,0.0059848,0.01730563543365
3.007,1.1475,0.0059848,0.01738343783365
3.021,1.1621,0.0061386,0.01746830163365
3.036,1.1768,0.0062944,0.01756154913365
3.049,1.2012,0.0065582,0.01764509103365
3.063,1.1182,0.0056831,0.01773078013365
3.077,1.123,0.0057329,0.01781069213365
3.091,1.1475,0.0059848,0.01789271603365
3.105,1.1475,0.0059848,0.01797650323365
3.119,1.2109,0.0066653,0.01806505393365
3.133,1.1621,0.0061386,0.01815468123365
3.146,1.1475,0.0059848,0.01823348333365
3.161,1.1572,0.0060872,0.01832402333365
3.175,1.1426,0.005934,0.01840817173365
3.188,1.1719,0.0062422,0.01848731703365
3.203,1.1523,0.0060359,0.01857940278365
3.216,1.1084,0.0055843,0.01865493408365
3.23,1.1865,0.0063993,0.01873881928365
3.245,1.1914,0.006452,0.01883520403365
3.258,1.1621,0.0061386,0.01891704293365
