Time(ms),Voltage(V),Power(Watt) 
0,0.32715,0.00048648
9,0.32715,0.00048648
19,0.16113,0.00011802
29,0.31738,0.00045787
40,0.32715,0.00048648
51,0.3125,0.00044389
62,0.32715,0.00048648
72,0.31738,0.00045787
83,0.33203,0.00050111
94,0.33203,0.00050111
105,0.33203,0.00050111
116,0.33691,0.00051596
129,0.32227,0.00047207
140,0.32715,0.00048648
152,0.33203,0.00050111
163,0.32227,0.00047207
176,0.33691,0.00051596
187,0.33691,0.00051596
199,0.3125,0.00044389
210,0.31738,0.00045787
223,0.29785,0.00040325
235,0.31738,0.00045787
246,0.32227,0.00047207
259,0.33203,0.00050111
270,0.32715,0.00048648
282,0.3125,0.00044389
293,0.32227,0.00047207
306,0,0
316,0.31738,0.00045787
328,0.3418,0.00053102
339,0.32715,0.00048648
352,0.32715,0.00048648
363,0.32227,0.00047207
375,0.3125,0.00044389
387,0.33691,0.00051596
399,0.32227,0.00047207
411,0.33203,0.00050111
422,0.32227,0.00047207
435,0.30762,0.00043013
446,0.30273,0.00041658
458,0.3125,0.00044389
470,0.32227,0.00047207
482,0.31738,0.00045787
493,0.30762,0.00043013
505,0.30762,0.00043013
517,0.33203,0.00050111
529,0.33203,0.00050111
540,0.30762,0.00043013
552,0.31738,0.00045787
565,0.3125,0.00044389
576,0.33691,0.00051596
588,0.30762,0.00043013
600,0.32227,0.00047207
612,0.33203,0.00050111
623,0.3125,0.00044389
635,0.33691,0.00051596
647,0.32227,0.00047207
659,0.32227,0.00047207
670,0.31738,0.00045787
683,0.32715,0.00048648
694,0.31738,0.00045787
706,0.3125,0.00044389
718,0.32227,0.00047207
730,0.32227,0.00047207
742,0.32227,0.00047207
753,0.31738,0.00045787
765,0.27344,0.00033985
777,0.32715,0.00048648
789,0.33691,0.00051596
800,0.3125,0.00044389
813,0.32227,0.00047207
824,0.32715,0.00048648
836,0.32227,0.00047207
847,0.32715,0.00048648
860,0.3125,0.00044389
872,0.33203,0.00050111
883,0.33691,0.00051596
896,0.30762,0.00043013
907,0.33203,0.00050111
919,0.053711,1.3113e-05
930,0.33203,0.00050111
943,0.33203,0.00050111
954,0.31738,0.00045787
966,0.32715,0.00048648
977,0.32227,0.00047207
990,0.3125,0.00044389
1001,0.24902,0.00028188
1014,0.33691,0.00051596
1028,0.32715,0.00048648
1040,0.32227,0.00047207
1053,0.33691,0.00051596
1065,0.33691,0.00051596
1079,0.32715,0.00048648
1092,0.3125,0.00044389
1104,0.3125,0.00044389
1118,0.31738,0.00045787
1130,0.31738,0.00045787
1143,0.30762,0.00043013
1156,0.3125,0.00044389
1169,0.3418,0.00053102
1182,0.32227,0.00047207
1195,0.31738,0.00045787
1208,0.33691,0.00051596
1220,0.0048828,1.0837e-07
1232,0.32715,0.00048648
1245,0.31738,0.00045787
1258,0.3125,0.00044389
1271,0.3418,0.00053102
1284,0.32715,0.00048648
1297,0.31738,0.00045787
1309,0,0
1321,0,0
1333,0.33691,0.00051596
1346,0.32715,0.00048648
1359,0.33203,0.00050111
1372,0.3418,0.00053102
1385,0.32227,0.00047207
1397,0.31738,0.00045787
1411,0.33203,0.00050111
1423,0.30762,0.00043013
1436,0.32715,0.00048648
1449,0.33691,0.00051596
1462,0.32715,0.00048648
1475,0.3418,0.00053102
1487,0.32227,0.00047207
1501,0.32227,0.00047207
1514,0.31738,0.00045787
1526,0.32227,0.00047207
1540,0.32715,0.00048648
1552,0.33203,0.00050111
1565,0.32227,0.00047207
1577,0.3125,0.00044389
1591,0.3125,0.00044389
1604,0.3125,0.00044389
