Time(ms),Voltage(V),Power(Watt) 
3161,1.1572,0.0060872
3175,1.1426,0.005934
3188,1.1719,0.0062422
3203,1.1523,0.0060359
3216,1.1084,0.0055843
3230,1.1865,0.0063993
3245,1.1914,0.006452
3258,1.1621,0.0061386
3272,1.1182,0.0056831
3286,1.1816,0.0063467
3300,1.1475,0.0059848
3314,1.1816,0.0063467
3328,1.1377,0.0058834
3342,1.2012,0.0065582
3355,1.1182,0.0056831
3369,0.078125,2.7743e-05
3383,1.123,0.0057329
3396,1.1914,0.006452
3410,1.1768,0.0062944
3424,1.1426,0.005934
3438,1.1572,0.0060872
3452,1.1865,0.0063993
3466,1.1768,0.0062944
3480,1.167,0.0061903
3493,1.123,0.0057329
3508,1.1865,0.0063993
3522,1.1768,0.0062944
3535,1.167,0.0061903
3550,1.1426,0.005934
3563,1.1816,0.0063467
3577,1.1523,0.0060359
3591,1.1572,0.0060872
3605,0.068359,2.1241e-05
3618,1.1475,0.0059848
3632,1.1279,0.0057828
3646,1.1621,0.0061386
3659,1.1182,0.0056831
3674,0.75684,0.0026036
3688,1.1865,0.0063993
3701,1.1426,0.005934
3716,1.0938,0.0054377
3729,1.1328,0.005833
3743,1.1963,0.006505
3758,1.1523,0.0060359
3771,1.1475,0.0059848
3785,1.1523,0.0060359
3799,1.1768,0.0062944
3813,1.1572,0.0060872
3827,1.1475,0.0059848
3841,1.1377,0.0058834
3855,1.1816,0.0063467
3868,1.1816,0.0063467
3883,1.1621,0.0061386
3897,1.167,0.0061903
3910,1.1768,0.0062944
3924,1.1719,0.0062422
3938,1.2109,0.0066653
3952,1.167,0.0061903
3966,1.1914,0.006452
3980,1.1865,0.0063993
3994,1.167,0.0061903
4007,1.1475,0.0059848
4022,1.1377,0.0058834
4036,1.1963,0.006505
4049,1.1914,0.006452
4064,1.1621,0.0061386
4077,1.1279,0.0057828
4091,0.097656,4.3349e-05
4105,1.1621,0.0061386
4118,1.1279,0.0057828
4132,1.167,0.0061903
4146,1.1621,0.0061386
