Time.s,Voltage.V,Power.Watt,Energy.J
1.526,0.32227,0.00047207,0.00070608465994
1.54,0.32715,0.00048648,0.00071279450994
1.552,0.33203,0.00050111,0.00071872004994
1.565,0.32227,0.00047207,0.00072504571994
1.577,0.3125,0.00044389,0.00073054147994
1.591,0.3125,0.00044389,0.00073675593994
1.604,0.3125,0.00044389,0.00074252650994
1.616,0.3125,0.00044389,0.00074785318994
1.63,0.33203,0.00050111,0.00075446818994
1.642,0.32715,0.00048648,0.00076039372994
1.655,0.31738,0.00045787,0.00076653200494
1.668,0.32227,0.00047207,0.00077257661494
1.681,0.32227,0.00047207,0.00077871352494
1.694,0.32227,0.00047207,0.00078485043494
1.707,0.32227,0.00047207,0.00079098734494
1.72,0.33691,0.00051596,0.00079740953994
1.732,0.33203,0.00050111,0.00080351195994
1.745,0.33203,0.00050111,0.00081002638994
1.759,0.32227,0.00047207,0.00081683864994
1.771,0.33203,0.00050111,0.00082267772994
1.784,0.31738,0.00045787,0.00082891109994
1.797,0.33203,0.00050111,0.00083514446994
1.81,0.32715,0.00048648,0.00084156380494
1.835,0.32715,0.00048648,0.00085372580494
1.848,0.32715,0.00048648,0.00086005004494
1.86,0.32715,0.00048648,0.00086588780494
1.873,0.3418,0.00053102,0.00087250155494
1.886,0.31738,0.00045787,0.00087892933994
1.899,0.32715,0.00048648,0.00088506761494
1.911,0.32715,0.00048648,0.00089090537494
1.925,0.30273,0.00041658,0.00089722679494
1.938,0.31738,0.00045787,0.00090291071994
1.95,0.32715,0.00048648,0.00090857681994
1.964,0.31738,0.00045787,0.00091518726994
1.976,0.31738,0.00045787,0.00092068170994
1.989,0.32715,0.00048648,0.00092681998494
2.001,0.33203,0.00050111,0.000932745524939999
2.015,0.32227,0.00047207,0.00093955778494
2.028,0.32227,0.00047207,0.000945694694939999
2.04,0.33691,0.00051596,0.00095162287494
2.054,0.31738,0.00045787,0.000958439684939999
2.066,0.31738,0.00045787,0.000963934124939999
2.079,0.31738,0.00045787,0.000969886434939999
2.093,0.32715,0.00048648,0.000976496884939999
2.105,0.32227,0.00047207,0.000982248184939999
2.118,0.31738,0.00045787,0.000988292794939999
2.13,0.31738,0.00045787,0.000993787234939999
2.144,0.29785,0.00040325,0.000999815074939999
2.156,0.3125,0.00044389,0.00100489791494
2.169,0.32227,0.00047207,0.00101085165494
2.183,0.33691,0.00051596,0.00101776786494
2.195,0.32227,0.00047207,0.00102369604494
2.208,0.3125,0.00044389,0.00102964978494
2.221,0.3125,0.00044389,0.00103542035494
2.234,0.30273,0.00041658,0.00104101340994
2.246,0.32715,0.00048648,0.00104643176994
2.259,0.32715,0.00048648,0.00105275600994
2.273,0.30273,0.00041658,0.00105907742994
2.285,0.32715,0.00048648,0.00106449578994
2.298,0.32227,0.00047207,0.00107072636494
2.311,0.33691,0.00051596,0.00107714855994
2.324,0.32715,0.00048648,0.00108366441994
2.337,0.32227,0.00047207,0.00108989499494
2.35,0.32715,0.00048648,0.00109612556994
2.363,0.33203,0.00050111,0.00110254490494
2.375,0.3125,0.00044389,0.00110821490494
2.388,0.32715,0.00048648,0.00111426230994
2.401,0.33691,0.00051596,0.00112077816994
2.414,0.32227,0.00047207,0.00112720036494
2.427,0.33203,0.00050111,0.00113352603494
2.44,0.33203,0.00050111,0.00114004046494
2.453,0.30273,0.00041658,0.00114600544994
2.465,0.32715,0.00048648,0.00115142380994
2.479,0.31738,0.00045787,0.00115803425994
2.491,0.32227,0.00047207,0.00116361389994
2.504,0.30273,0.00041658,0.00116939012494
2.518,0.3125,0.00044389,0.00117541341494
2.53,0.33691,0.00051596,0.00118117251494
2.543,0.30273,0.00041658,0.00118723402494
2.555,0.33203,0.00050111,0.00119274016494
2.569,0.32715,0.00048648,0.00119965329494
2.582,0.31738,0.00045787,0.00120579156994
2.594,0.3418,0.00053102,0.00121172490994
2.608,0.33203,0.00050111,0.00121894981994
2.62,0.32715,0.00048648,0.00122487535994
2.633,0.32715,0.00048648,0.00123119959994
2.646,0.30762,0.00043013,0.00123715756494
2.659,0.33203,0.00050111,0.00124321062494
2.672,0.33203,0.00050111,0.00124972505494
2.684,0.33203,0.00050111,0.00125573837494
2.698,0.33203,0.00050111,0.00126275391494
2.71,0.32227,0.00047207,0.00126859299494
2.723,0.33203,0.00050111,0.00127491866494
2.736,0.33203,0.00050111,0.00128143309494
2.749,0.30762,0.00043013,0.00128748615494
2.762,0.33203,0.00050111,0.00129353921494
2.775,0.31738,0.00045787,0.00129977258494
2.788,0.29785,0.00040325,0.00130536986494
2.8,0.33203,0.00050111,0.00131079602494
2.813,0.32227,0.00047207,0.00131712169494
2.827,0.30273,0.00041658,0.00132334224494
2.839,0.33203,0.00050111,0.00132884838494
2.852,0.0048828,0.00000010837,0.001332106304345
2.864,0.33691,0.00051596,0.001335202714565
2.877,0.32227,0.00047207,0.001341624909565
2.889,0.3125,0.00044389,0.001347120669565
2.903,0.33691,0.00051596,0.001353839619565
2.916,0.30273,0.00041658,0.001359901129565
2.928,0.32715,0.00048648,0.001365319489565
