Time(ms),Voltage(V),Power(Watt) 
0,0.23438,0.00024969
9,0.24414,0.00027093
19,0.24414,0.00027093
29,0,0
39,0.25391,0.00029304
50,0.23926,0.0002602
61,0.24902,0.00028188
71,0.24902,0.00028188
82,0.25391,0.00029304
93,0.24414,0.00027093
104,0.24902,0.00028188
115,0.24902,0.00028188
128,0.26855,0.00032783
139,0.23438,0.00024969
151,0.25879,0.00030442
162,0.26855,0.00032783
175,0,0
185,0.25879,0.00030442
197,0.23926,0.0002602
208,0.25879,0.00030442
221,0.25879,0.00030442
232,0.25391,0.00029304
244,0.25391,0.00029304
256,0.23926,0.0002602
268,0.25879,0.00030442
280,0.24902,0.00028188
291,0.25391,0.00029304
304,0.25879,0.00030442
315,0.23438,0.00024969
327,0.22461,0.00022932
338,0.25391,0.00029304
351,0.24902,0.00028188
362,0.25391,0.00029304
374,0.24414,0.00027093
386,0.26367,0.00031601
398,0.25879,0.00030442
409,0.23926,0.0002602
421,0.0048828,1.0837e-07
432,0,0
443,0.24902,0.00028188
455,0.24902,0.00028188
466,0.26367,0.00031601
479,0.25391,0.00029304
490,0.25879,0.00030442
502,0.25879,0.00030442
514,0.23926,0.0002602
526,0.26367,0.00031601
537,0.25391,0.00029304
549,0.24902,0.00028188
561,0.24902,0.00028188
573,0.24902,0.00028188
584,0.25879,0.00030442
596,0.24414,0.00027093
608,0.073242,2.4384e-05
620,0.25391,0.00029304
632,0.24414,0.00027093
644,0.23438,0.00024969
656,0.25879,0.00030442
667,0.25879,0.00030442
679,0.24414,0.00027093
691,0.23438,0.00024969
703,0.23926,0.0002602
714,0.25391,0.00029304
727,0.24902,0.00028188
738,0.25391,0.00029304
750,0.23926,0.0002602
761,0.23926,0.0002602
774,0.26367,0.00031601
786,0.24902,0.00028188
797,0.23438,0.00024969
809,0.22949,0.00023939
821,0.22949,0.00023939
833,0.25391,0.00029304
844,0.23926,0.0002602
857,0.23926,0.0002602
868,0.24414,0.00027093
880,0.22949,0.00023939
891,0.0097656,4.3349e-07
903,0.24414,0.00027093
914,0.24414,0.00027093
926,0.22461,0.00022932
939,0.24902,0.00028188
950,0.25391,0.00029304
962,0.23926,0.0002602
973,0.22949,0.00023939
986,0.23926,0.0002602
997,0.25879,0.00030442
1009,0.23926,0.0002602
1021,0,0
1034,0.24414,0.00027093
1046,0.22949,0.00023939
1059,0.24902,0.00028188
1073,0.25879,0.00030442
1085,0.23438,0.00024969
1098,0.23438,0.00024969
1111,0.24902,0.00028188
1124,0.22461,0.00022932
1136,0.25879,0.00030442
1149,0.23926,0.0002602
1163,0.24414,0.00027093
1175,0.25391,0.00029304
1188,0.23438,0.00024969
1201,0.22949,0.00023939
1214,0.25391,0.00029304
1227,0.23926,0.0002602
1240,0.23926,0.0002602
1253,0.25879,0.00030442
1265,0.25391,0.00029304
1278,0.24902,0.00028188
1291,0.24414,0.00027093
1304,0.24902,0.00028188
1317,0.25879,0.00030442
1330,0.23926,0.0002602
1343,0.25879,0.00030442
1355,0.25391,0.00029304
1369,0.24414,0.00027093
1381,0.24902,0.00028188
1394,0.24414,0.00027093
1408,0.25391,0.00029304
1420,0.24902,0.00028188
1433,0.0097656,4.3349e-07
1444,0.24902,0.00028188
1458,0.25879,0.00030442
1470,0.24414,0.00027093
1483,0.24414,0.00027093
1497,0.25391,0.00029304
1509,0.24902,0.00028188
1522,0.25879,0.00030442
1534,0.24414,0.00027093
1548,0.25391,0.00029304
1560,0.24414,0.00027093
1573,0.22949,0.00023939
1587,0.24414,0.00027093
1599,0.24414,0.00027093
1612,0.22949,0.00023939
1625,0.25879,0.00030442
1638,0.24902,0.00028188
1651,0.23438,0.00024969
1664,0.24902,0.00028188
1677,0.24414,0.00027093
