Time(ms),Voltage(V),Power(Watt) 
0,0.5957,0.001613
10,0.60547,0.0016663
22,0.61523,0.0017205
33,0.59082,0.0015867
46,0.54688,0.0013594
57,0.57617,0.001509
69,0.58594,0.0015606
80,0,0
91,0.61035,0.0016933
102,0.59082,0.0015867
115,0.60059,0.0016396
128,0.57617,0.001509
141,0.5957,0.001613
153,0.61035,0.0016933
166,0.58594,0.0015606
180,0.58594,0.0015606
192,0.60547,0.0016663
205,0.60547,0.0016663
218,0.61035,0.0016933
231,0.57129,0.0014835
243,0.5957,0.001613
257,0.60059,0.0016396
269,0.61035,0.0016933
282,0.60547,0.0016663
295,0.60547,0.0016663
308,0.26367,0.00031601
320,0.59082,0.0015867
332,0.62012,0.0017479
346,0.57129,0.0014835
358,0.5957,0.001613
371,0.58594,0.0015606
384,0.58594,0.0015606
397,0.60547,0.0016663
410,0.57617,0.001509
422,0.0097656,4.3349e-07
434,0.61035,0.0016933
446,0.5957,0.001613
459,0.5957,0.001613
472,0.54688,0.0013594
485,0.59082,0.0015867
497,0.57617,0.001509
510,0.58105,0.0015347
523,0.58105,0.0015347
536,0.59082,0.0015867
549,0.5957,0.001613
562,0.59082,0.0015867
575,0.57129,0.0014835
587,0.58594,0.0015606
601,0.58594,0.0015606
613,0.61523,0.0017205
626,0.58594,0.0015606
640,0.62012,0.0017479
652,0.56641,0.0014583
665,0.58594,0.0015606
677,0.57617,0.001509
691,0.59082,0.0015867
703,0.59082,0.0015867
716,0.58594,0.0015606
729,0.62988,0.0018034
742,0.58594,0.0015606
754,0.60059,0.0016396
768,0.56152,0.0014332
781,0.57617,0.001509
793,0.60059,0.0016396
806,0.58594,0.0015606
819,0.61523,0.0017205
832,0.59082,0.0015867
844,0.60547,0.0016663
858,0.58105,0.0015347
870,0.60547,0.0016663
883,0.58105,0.0015347
897,0.58105,0.0015347
909,0.58594,0.0015606
922,0.5957,0.001613
934,0.59082,0.0015867
948,0.5957,0.001613
960,0.55664,0.0014084
973,0.5957,0.001613
986,0.58105,0.0015347
999,0.56152,0.0014332
1012,0.59082,0.0015867
1026,0.32227,0.00047207
1039,0.58105,0.0015347
1052,0.5957,0.001613
1067,0.57617,0.001509
1081,0.59082,0.0015867
1094,0.61035,0.0016933
1108,0.60059,0.0016396
1122,0.60547,0.0016663
1136,0.60059,0.0016396
1150,0.60059,0.0016396
1164,0.57129,0.0014835
1178,0.57129,0.0014835
1191,0.5957,0.001613
1206,0.60547,0.0016663
1220,0.58105,0.0015347
1233,0.56152,0.0014332
1248,0.58594,0.0015606
1261,0.57617,0.001509
1275,0.57617,0.001509
