Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"167554000","310000","3275","175.9",""
"168464000","310000","3275","176.7",""
"169308000","310000","3275","177.4",""
"170151000","310000","3275","178.6",""
"170994000","310000","3275","179.3",""
"172088000","310000","3275","180.5",""
"172989000","310000","3275","181.2",""
"173832000","310000","3275","182.4",""
"174675000","310000","3275","183.1",""
"175519000","310000","3275","183.9",""
"176617000","310000","3275","185.0",""
"177519000","310000","3275","185.8",""
"178363000","310000","3275","186.9",""
"179206000","310000","3275","187.7",""
"180049000","310000","3275","188.5",""
"181143000","310000","3274","189.6",""
"182044000","310000","3275","190.8",""
"182887000","310000","3275","191.5",""
"183731000","310000","3275","192.3",""
"184575000","310000","3274","193.0",""
"185668000","310000","3274","194.2",""
"186575000","310000","3274","195.3",""
"187419000","310000","3274","196.1",""
"188263000","309600","3274","196.8",""
"189106000","309600","3274","198.0",""
"190199000","309600","3274","198.7",""
"191101000","309600","3274","199.9",""
"191945000","309600","3274","200.6",""
"192788000","309600","3274","201.4",""
"193632000","309600","3274","202.6",""
"194725000","309600","3274","203.7",""
"195627000","309600","3274","204.5",""
"196476000","309600","3274","205.2",""
"197319000","309600","3274","206.4",""
"198167000","309600","3274","207.1",""
"199260000","309600","3274","208.3",""
"200162000","309600","3274","209.0",""
"201005000","309600","3274","210.2",""
"201848000","309600","3274","210.9",""
"202692000","309600","3274","211.7",""
"203786000","309600","3274","212.8",""
"204688000","309600","3274","213.6",""
"205531000","309600","3274","214.7",""
"206380000","309600","3274","215.5",""
"207223000","309600","3274","216.3",""
"208317000","309600","3274","217.4",""
"209217000","309600","3274","218.6",""
"210062000","309600","3274","219.3",""
"210905000","309600","3274","220.1",""
"211749000","309600","3274","220.8",""
"212842000","309600","3274","222.0",""
"213744000","309600","3274","223.1",""
"214588000","309600","3274","223.9",""
"215431000","309600","3274","224.6",""
"216280000","309600","3274","225.8",""
"217373000","309600","3273","226.5",""
"218274000","309600","3274","227.7",""
"219118000","309600","3274","228.5",""
"219961000","309600","3273","229.2",""
"220805000","309600","3273","230.4",""
"221898000","309600","3274","231.5",""
"222800000","309600","3274","232.3",""
"223643000","309600","3274","233.0",""
"224486000","309600","3274","234.2",""
"225330000","309600","3274","234.9",""
"226429000","309600","3274","236.1",""
"227330000","309600","3274","236.8",""
"228174000","309600","3274","237.6",""
"229018000","309600","3274","238.7",""
"229861000","309600","3274","239.5",""
"230955000","309600","3274","240.6",""
"231857000","309600","3274","241.4",""
"232700000","309600","3274","242.6",""
"233543000","309600","3274","243.3",""
"234387000","309600","3274","244.1",""
"235480000","310400","3274","245.2",""
"236387000","310400","3274","246.0",""
"237230000","310400","3274","247.1",""
"238074000","310400","3274","247.9",""
"238918000","310400","3274","248.6",""
"240031000","310400","3274","249.8",""
"240933000","310400","3274","250.9",""
"241776000","310400","3274","251.7",""
"242620000","310400","3274","252.4",""
"243463000","310400","3274","253.2",""
"244557000","310400","3274","254.3",""
"245457000","310400","3274","255.5",""
"246306000","310400","3274","256.3",""
"247150000","310400","3274","257.0",""
"247994000","310400","3274","258.2",""
"249145000","310400","3274","259.3",""
"249989000","310400","3274","260.1",""
"250833000","310400","3274","260.8",""
"251676000","310400","3274","262.0",""
"252520000","310400","3274","262.7",""
"253613000","310400","3274","263.9",""
"254514000","310400","3274","264.6",""
"255358000","310400","3274","265.4",""
"256206000","310400","3274","266.5",""
"257051000","310400","3274","267.3",""
"258144000","310400","3274","268.4",""
"259047000","310400","3274","269.2",""
"259890000","310400","3274","270.4",""
"260734000","310400","3274","271.1",""
"261578000","310400","3274","271.9",""
"262671000","310400","3274","273.0",""
"263573000","310400","3275","273.8",""
"264417000","310400","3275","274.9",""
"265261000","310400","3275","275.7",""
"266110000","310400","3275","276.4",""
"267204000","310400","3275","277.6",""
"268105000","310400","3275","278.7",""
"268948000","310400","3275","279.5",""
"269792000","310400","3275","280.2",""
"270635000","310400","3275","281.0",""
"271728000","310400","3275","282.1",""
"272629000","310400","3275","283.3",""
"273473000","310400","3275","284.1",""
"274316000","310400","3275","284.8",""
"275159000","310400","3275","286.0",""
"276259000","310400","3275","286.7",""
"277160000","310400","3275","287.9",""
"278004000","310400","3275","288.6",""
"278848000","310400","3275","289.4",""
"279691000","310400","3275","290.5",""
"280785000","310400","3275","291.7",""
"281686000","310400","3275","292.4",""
"282535000","309000","3275","293.2",""
"283378000","309000","3275","294.3",""
"284221000","309000","3275","295.1",""
"285314000","309000","3275","296.2",""
"286221000","309000","3275","297.0",""
"287064000","309000","3275","297.8",""
"287908000","309000","3275","298.9",""
"288752000","309000","3275","299.7",""
"289845000","309000","3275","300.8",""
"290747000","309000","3275","301.6",""
"291590000","309000","3275","302.7",""
"292434000","309000","3275","303.5",""
"293278000","309000","3275","304.2",""
"294372000","309000","3275","305.4",""
"295273000","309000","3275","306.1",""
"296123000","309000","3275","307.3",""
"296967000","309000","3275","308.0",""
"297810000","309000","3275","308.8",""
"298903000","309000","3275","309.9",""
"299803000","309000","3275","311.1",""
"300647000","309000","3275","311.9",""
"301491000","309000","3275","312.6",""
"302334000","309000","3275","313.4",""
"303427000","309000","3275","314.5",""
"304329000","309000","3275","315.7",""
"305172000","309000","3275","316.4",""
"306015000","309000","3275","317.2",""
"306864000","309000","3275","318.3",""
"307958000","309000","3275","319.1",""
"308859000","309000","3275","320.2",""
"309703000","309000","3275","321.0",""
"310548000","309000","3275","321.7",""
"311390000","309000","3275","322.9",""
"312484000","309000","3275","324.0",""
"313386000","309000","3275","324.8",""
"314230000","309000","3275","325.6",""
"315074000","309000","3275","326.7",""
"315918000","309000","3275","327.5",""
"317016000","309000","3275","328.6",""
"317918000","309000","3275","329.4",""
"318761000","309000","3275","330.1",""
"319605000","309000","3275","331.3",""
"320450000","309000","3275","332.0",""
"321542000","309000","3275","333.2",""
"322445000","309000","3275","333.9",""
"323287000","309000","3275","335.1",""
"324135000","309000","3275","335.8",""
"324978000","309000","3275","336.6",""
"326072000","309000","3275","337.7",""
"326978000","309000","3275","338.9",""
"327822000","309000","3275","339.7",""
"328665000","309000","3275","340.4",""
"329510000","309500","3275","341.2",""
"330603000","309500","3275","342.3",""
"331504000","309500","3275","343.5",""
"332347000","309500","3275","344.2",""
"333191000","309500","3275","345.0",""
"334036000","309500","3275","345.7",""
"335128000","309500","3275","346.9",""
"336030000","309500","3275","348.0",""
"336880000","309500","3275","348.8",""
"337723000","309500","3275","349.6",""
"338567000","309500","3275","350.7",""
"339660000","309500","3275","351.5",""
"340562000","309500","3275","352.6",""
"341405000","309500","3275","353.4",""
"342249000","309500","3275","354.1",""
"343092000","309500","3276","355.3",""
"344186000","309500","3276","356.4",""
"345087000","309500","3276","357.2",""
"345931000","309500","3276","357.9",""
"346779000","309500","3276","359.1",""
"347623000","309500","3276","359.8",""
"348715000","309500","3276","361.0",""
"349618000","309500","3276","361.7",""
"350461000","309500","3276","362.5",""
"351305000","309500","3276","363.7",""
"352148000","309500","3276","364.4",""
"353242000","309500","3276","365.6",""
"354144000","309500","3276","366.3",""
"354987000","309500","3276","367.5",""
"355830000","309500","3276","368.2",""
"356679000","309500","3276","369.0",""
"357772000","309500","3276","370.1",""
"358674000","309500","3276","370.9",""
"359517000","309500","3276","372.0",""
"360361000","309500","3276","372.8",""
"361205000","309500","3276","373.5",""
"362299000","309500","3276","374.7",""
"363199000","309500","3276","375.8",""
"364043000","309500","3275","376.6",""
"364886000","309500","3275","377.4",""
