Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","359000","3287","5.3","0x3E0402080000830"
"902000","359000","3273","6.5",""
"1809000","359000","3278","7.6",""
"2653000","359000","3274","8.8",""
"3496000","359000","3277","9.5",""
"4589000","359000","3274","11.1",""
"5491000","359000","3277","11.8",""
"6341000","359000","3275","13.0",""
"7185000","359000","3276","14.1",""
"8029000","359000","3275","15.3",""
"9123000","359000","3277","16.4",""
"10023000","359000","3275","17.6",""
"10868000","359000","3277","18.4",""
"11711000","359000","3276","19.5",""
"12555000","359000","3277","20.7",""
"13648000","359000","3276","21.8",""
"14550000","359000","3276","23.0",""
"15393000","359000","3276","24.1",""
"16242000","359000","3276","24.9",""
"17086000","359000","3275","26.0",""
"18178000","359000","3276","27.2",""
"19079000","359000","3275","28.3",""
"19923000","359000","3276","29.5",""
"20767000","359000","3275","30.6",""
"21611000","359000","3276","31.4",""
"22704000","359000","3275","32.9",""
"23606000","359000","3276","34.1",""
"24450000","359000","3275","34.9",""
"25293000","359000","3276","36.0",""
"26142000","359000","3275","37.2",""
"27236000","359000","3276","38.3",""
"28137000","359000","3275","39.5",""
"28981000","359000","3276","40.6",""
"29825000","359000","3275","41.4",""
"30669000","359000","3275","42.5",""
"31762000","359000","3275","43.7",""
"32662000","359000","3275","44.8",""
"33506000","359000","3275","46.0",""
"34349000","359000","3275","47.1",""
"35193000","359000","3275","47.9",""
"36293000","359000","3275","49.4",""
"37195000","359000","3275","50.2",""
"38038000","359000","3275","51.4",""
"38881000","359000","3275","52.5",""
"39724000","359000","3275","53.3",""
"40810000","367500","3275","54.8",""
"41719000","367500","3275","56.0",""
"42564000","367500","3275","56.7",""
"43406000","367500","3275","57.9",""
"44255000","367500","3275","59.0",""
"45347000","367500","3275","60.2",""
"46254000","367500","3275","61.3",""
"47097000","367500","3275","62.5",""
"47941000","367500","3275","63.2",""
"48784000","367500","3275","64.4",""
"49878000","367500","3274","65.5",""
"50779000","367500","3274","66.7",""
"51623000","367500","3274","67.9",""
