Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","305900","3286","4.5","0x3E0402080000830"
"901000","305900","3275","5.3",""
"1751000","305900","3281","6.4",""
"2596000","305900","3276","7.2",""
"3438000","305900","3278","7.9",""
"4532000","305900","3274","9.1",""
"5433000","305900","3276","9.8",""
"6276000","305900","3274","11.0",""
"7120000","305900","3276","11.8",""
"7964000","305900","3274","12.5",""
"9057000","305900","3275","13.7",""
"9959000","305900","3274","14.4",""
"10802000","305900","3275","15.6",""
"11651000","305900","3274","16.3",""
"12495000","305900","3275","17.1",""
"13588000","305900","3274","18.2",""
"14490000","305900","3274","19.0",""
"15333000","305900","3274","20.1",""
"16177000","305900","3275","20.9",""
"17020000","305900","3274","21.6",""
"18114000","305900","3274","22.8",""
"19015000","305900","3274","23.5",""
"19859000","305900","3275","24.3",""
"20703000","305900","3274","25.5",""
"21552000","305900","3275","26.2",""
"22645000","305900","3274","27.4",""
"23547000","305900","3275","28.1",""
"24391000","305900","3274","28.9",""
"25235000","305900","3275","30.0",""
"26079000","305900","3274","30.8",""
"27173000","305900","3275","31.9",""
"28074000","305900","3274","32.7",""
"28923000","305900","3275","33.4",""
"29767000","305900","3275","34.6",""
"30610000","305900","3275","35.3",""
"31710000","305900","3275","36.5",""
"32610000","305900","3275","37.2",""
"33454000","305900","3275","38.0",""
"34297000","305900","3275","39.2",""
"35141000","305900","3275","39.9",""
"36235000","305900","3275","41.1",""
"37136000","305900","3275","41.8",""
"37979000","305900","3275","42.6",""
"38823000","305900","3274","43.7",""
"39667000","305900","3275","44.5",""
"40761000","305900","3275","45.6",""
"41668000","305900","3275","46.4",""
"42512000","305900","3274","47.1",""
"43355000","305900","3275","48.3",""
"44199000","305900","3274","49.0",""
"45292000","305900","3275","50.2",""
"46194000","305900","3275","50.9",""
"47038000","305900","3274","51.7",""
"47881000","305900","3274","52.9",""
"48724000","305900","3274","53.6",""
"49817000","305900","3275","54.8",""
"50719000","305900","3275","55.5",""
"51569000","305900","3275","56.3",""
"52412000","305900","3275","57.4",""
"53255000","305900","3275","58.2",""
"54348000","305900","3275","59.3",""
"55250000","305900","3275","60.1",""
"56093000","305900","3275","60.8",""
"56937000","305900","3275","62.0",""
"57781000","305900","3275","62.7",""
"58875000","305900","3275","63.9",""
"59776000","305900","3275","64.6",""
"60620000","305900","3275","65.4",""
"61470000","305900","3275","66.6",""
"62314000","305900","3275","67.3",""
"63407000","305900","3275","68.5",""
