Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","332800","3291","4.9","0x3E0402080000830"
"909000","332800","3275","5.7",""
"1753000","332800","3278","6.4",""
"2597000","332800","3275","7.6",""
"3440000","332800","3278","8.3",""
"4534000","332800","3275","9.5",""
"5435000","332800","3276","10.2",""
"6278000","332800","3274","11.0",""
"7122000","332800","3276","12.2",""
"7966000","332800","3274","12.9",""
"9065000","332800","3275","14.1",""
"9967000","332800","3274","14.8",""
"10810000","332800","3275","16.0",""
"11654000","332800","3274","16.7",""
"12497000","332800","3275","17.5",""
"13591000","332800","3274","18.6",""
"14493000","332800","3275","19.8",""
"15336000","332800","3274","20.5",""
"16180000","332800","3275","21.3",""
"17024000","332800","3274","22.0",""
"18116000","332800","3275","23.2",""
"19024000","332800","3274","24.3",""
"19867000","332800","3275","25.1",""
"20711000","332800","3274","25.9",""
"21554000","332800","3275","27.0",""
"22647000","332800","3274","27.8",""
"23549000","332800","3274","28.9",""
"24392000","332800","3274","29.7",""
"25236000","332800","3274","30.4",""
"26079000","332800","3274","31.6",""
"27172000","332800","3274","32.7",""
"28078000","332800","3274","33.5",""
"28926000","332800","3274","34.2",""
"29771000","332800","3274","35.4",""
"30614000","332800","3274","36.1",""
"31707000","332800","3274","37.3",""
"32608000","332800","3274","38.0",""
"33453000","332800","3274","38.8",""
"34297000","332800","3275","40.0",""
"35140000","332800","3274","40.7",""
"36234000","332800","3275","41.9",""
"37136000","332800","3274","42.6",""
"37979000","332800","3275","43.8",""
"38829000","332800","3274","44.5",""
"39672000","332800","3275","45.3",""
"40766000","332800","3274","46.4",""
"41667000","332800","3275","47.6",""
"42512000","332800","3274","48.3",""
"43355000","332800","3275","49.1",""
"44198000","332800","3274","49.8",""
"45291000","332800","3274","51.0",""
"46192000","332800","3274","52.1",""
"47035000","309100","3274","52.9",""
"47879000","309100","3274","53.7",""
"48728000","309100","3274","54.8",""
"49879000","309100","3274","56.0",""
"50723000","309100","3274","56.7",""
"51566000","309100","3275","57.5",""
"52410000","309100","3274","58.2",""
"53254000","309100","3274","59.4",""
"54347000","309100","3274","60.5",""
"55248000","309100","3275","61.3",""
"56091000","309100","3274","62.0",""
"56935000","309100","3274","63.2",""
"57778000","309100","3275","63.9",""
"58877000","309100","3275","65.1",""
"59779000","309100","3274","65.8",""
"60622000","309100","3275","66.6",""
"61466000","309100","3275","67.8",""
"62310000","309100","3275","68.5",""
"63403000","309100","3275","69.7",""
"64305000","309100","3275","70.4",""
"65148000","309100","3275","71.6",""
"65992000","309100","3275","72.3",""
"66836000","309100","3275","73.1",""
"67930000","309100","3275","74.2",""
"68837000","309100","3275","75.4",""
"69680000","309100","3275","76.1",""
"70529000","309100","3275","76.9",""
"71373000","309100","3275","77.6",""
"72466000","309100","3275","78.8",""
"73367000","309100","3275","79.9",""
"74210000","309100","3275","80.7",""
"75054000","309100","3275","81.5",""
"75897000","309100","3275","82.2",""
"76983000","309100","3275","83.4",""
"77893000","309100","3275","84.5",""
"78742000","309100","3275","85.3",""
"79586000","309100","3275","86.0",""
"80429000","309100","3275","87.2",""
"81523000","309100","3275","88.3",""
"82424000","309100","3275","89.1",""
"83267000","309100","3275","89.8",""
"84111000","309100","3275","91.0",""
"84955000","309100","3275","91.7",""
"86048000","309100","3275","92.9",""
"86950000","309100","3275","93.6",""
"87794000","309100","3274","94.4",""
"88643000","309100","3275","95.6",""
"89486000","309100","3275","96.3",""
"90580000","309100","3275","97.5",""
"91481000","309100","3275","98.2",""
"92324000","309100","3275","99.4",""
"93168000","309100","3275","100.1",""
"94011000","309500","3275","100.9",""
"95104000","309500","3274","102.0",""
"96006000","309500","3275","102.8",""
"96849000","309500","3275","103.9",""
"97693000","309500","3275","104.7",""
"98542000","309500","3275","105.4",""
"99635000","309500","3274","106.6",""
"100536000","309500","3274","107.7",""
"101380000","309500","3274","108.5",""
"102224000","309500","3274","109.3",""
"103067000","309500","3274","110.4",""
"104161000","309500","3274","111.2",""
"105062000","309500","3274","112.3",""
"105906000","309500","3274","113.1",""
"106750000","309500","3274","113.8",""
"107594000","309500","3274","115.0",""
"108750000","309500","3274","116.1",""
"109595000","309500","3274","116.9",""
"110438000","309500","3274","117.6",""
"111282000","309500","3274","118.8",""
"112130000","309500","3274","119.6",""
"113223000","309500","3274","120.7",""
"114125000","309500","3274","121.4",""
"114969000","309500","3274","122.2",""
"115812000","309500","3274","123.4",""
"116656000","309500","3274","124.1",""
"117749000","309500","3274","125.3",""
"118656000","309500","3274","126.0",""
"119499000","309500","3274","127.2",""
"120343000","309500","3274","127.9",""
"121186000","309500","3274","128.7",""
"122278000","309500","3274","129.8",""
"123179000","309500","3274","131.0",""
"124023000","309500","3274","131.7",""
"124866000","309500","3274","132.5",""
"125710000","309500","3274","133.3",""
"126803000","309500","3274","134.4",""
"127705000","309500","3274","135.5",""
"128554000","309500","3274","136.3",""
"129398000","309500","3274","137.1",""
"130240000","309500","3274","138.2",""
"131334000","309500","3274","139.4",""
"132235000","309500","3274","140.1",""
"133079000","309500","3274","140.9",""
"133924000","309500","3274","141.6",""
"134768000","309500","3274","142.8",""
"135861000","309500","3274","143.9",""
"136763000","309500","3274","144.7",""
"137607000","309500","3274","145.4",""
"138456000","309500","3274","146.6",""
"139300000","309500","3274","147.4",""
"140393000","309500","3274","148.5",""
"141294000","310000","3274","149.3",""
"142138000","310000","3274","150.4",""
"142981000","310000","3274","151.2",""
"143825000","310000","3274","151.9",""
"144918000","310000","3274","153.1",""
"145820000","310000","3274","153.8",""
"146663000","310000","3274","155.0",""
"147507000","310000","3274","155.7",""
"148356000","310000","3274","156.5",""
"149449000","310000","3274","157.6",""
"150350000","310000","3274","158.8",""
"151195000","310000","3274","159.5",""
"152039000","310000","3275","160.3",""
"152883000","310000","3274","161.1",""
"153973000","310000","3274","162.2",""
"154882000","310000","3274","163.4",""
"155725000","310000","3274","164.1",""
"156569000","310000","3274","164.9",""
"157412000","310000","3274","166.0",""
"158511000","310000","3274","167.2",""
"159413000","310000","3274","167.9",""
"160256000","310000","3274","168.7",""
"161100000","310000","3274","169.8",""
"161944000","310000","3274","170.6",""
"163030000","310000","3274","171.7",""
"163939000","310000","3274","172.5",""
"164783000","310000","3274","173.2",""
"165627000","310000","3274","174.4",""
"166470000","310000","3274","175.2",""
"167564000","310000","3274","176.3",""
"168470000","310000","3274","177.1",""
"169314000","310000","3274","178.2",""
"170158000","310000","3274","179.0",""
"171001000","310000","3274","179.7",""
"172094000","310000","3274","180.9",""
"172995000","310000","3274","181.6",""
"173839000","310000","3274","182.8",""
"174683000","310000","3274","183.5",""
"175527000","310000","3274","184.3",""
"176620000","310000","3274","185.4",""
"177521000","310000","3274","186.6",""
"178370000","310000","3274","187.3",""
"179213000","310000","3274","188.1",""
"180057000","310000","3274","188.9",""
"181150000","310000","3274","190.0",""
"182052000","310000","3274","191.2",""
"182894000","310000","3274","191.9",""
"183738000","310000","3274","192.7",""
"184581000","310000","3274","193.8",""
"185675000","310000","3274","195.0",""
"186576000","310000","3274","195.7",""
"187419000","310000","3274","196.5",""
"188268000","312100","3274","197.6",""
"189112000","312100","3274","198.4",""
"190263000","312100","3274","199.5",""
"191106000","312100","3274","200.3",""
"191950000","312100","3274","201.0",""
"192793000","312100","3274","202.2",""
"193636000","312100","3274","203.0",""
"194730000","312100","3274","204.1",""
"195637000","312100","3274","204.9",""
"196480000","312100","3274","206.0",""
"197324000","312100","3274","206.8",""
