Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","305500","3292","4.5","0x3E0401C80000830"
"902000","305500","3277","5.3",""
"1746000","305500","3280","6.0",""
"2590000","305500","3276","7.2",""
"3434000","305500","3279","7.9",""
"4528000","305500","3277","9.1",""
"5430000","305500","3279","9.8",""
"6278000","305500","3276","10.6",""
"7122000","305500","3278","11.8",""
"7966000","305500","3276","12.5",""
"9059000","305500","3278","13.7",""
"9960000","305500","3276","14.4",""
"10805000","305500","3277","15.2",""
"11649000","305500","3276","16.3",""
"12492000","305500","3277","17.1",""
"13585000","305500","3276","18.2",""
"14486000","305500","3276","19.0",""
"15330000","305500","3275","19.7",""
"16179000","305500","3276","20.9",""
"17022000","305500","3275","21.6",""
"18115000","305500","3276","22.8",""
"19016000","305500","3275","23.5",""
"19860000","305500","3276","24.3",""
"20704000","305500","3275","25.5",""
"21548000","305500","3276","26.2",""
"22641000","305500","3275","27.4",""
"23542000","305500","3276","28.1",""
"24447000","305500","3275","29.3",""
"25290000","305500","3275","30.0",""
"26134000","305500","3275","30.8",""
"27231000","305500","3275","31.9",""
"28133000","305500","3275","32.7",""
"28977000","305500","3276","33.8",""
"29820000","305500","3275","34.6",""
"30664000","305500","3275","35.3",""
"31757000","305500","3275","36.5",""
"32659000","305500","3275","37.6",""
"33503000","305500","3275","38.4",""
"34347000","305500","3275","39.2",""
"35190000","305500","3275","39.9",""
"36289000","305500","3275","41.1",""
"37191000","305500","3275","42.2",""
"38035000","305500","3275","43.0",""
"38879000","305500","3275","43.7",""
"39722000","305500","3275","44.5",""
"40815000","305500","3275","45.6",""
"41716000","305500","3275","46.8",""
"42559000","305500","3275","47.5",""
"43403000","305500","3275","48.3",""
"44246000","305500","3275","49.4",""
"45340000","305500","3275","50.2",""
"46248000","305500","3275","51.3",""
"47091000","305500","3275","52.1",""
"47935000","305600","3274","52.9",""
"48779000","305600","3274","54.0",""
"49873000","305600","3274","54.8",""
"50773000","305600","3274","55.9",""
"51617000","305600","3274","56.7",""
"52461000","305600","3274","57.4",""
"53305000","305600","3274","58.6",""
"54398000","305600","3274","59.3",""
"55300000","305600","3274","60.5",""
"56144000","305600","3274","61.2",""
